序号,因子名称,最小分位数超额年化收益率,最大分位数超额年化收益率,最小分位数换手率,最大分位数换手率,IC均率,IR值,股票池,回测区间,组合构建
1,净资产增长率,-1.36%,12.30%,0.01%,0.01%,0.233,0.986,沪深300,近1年,纯多头组合
2,利润总额增长率,122.19%,0.37%,0.01%,0.01%,0.646,0.244,沪深300,近1年,纯多头组合
3,归属母公司股东的净利润增长率,74.77%,1.86%,0.01%,0.01%,0.713,0.624,沪深300,近1年,纯多头组合
4,当季净资产收益率ROE,-67.38%,-2.50%,0.02%,0.02%,0.611,0.075,沪深300,近1年,纯多头组合
5,当年净资产收益率ROE,96.92%,4.03%,0.01%,0.01%,0.961,0.481,沪深300,近1年,纯多头组合
6,扣非当季净资产收益ROE,-109.39%,-3.08%,0.02%,0.02%,0.442,0.357,沪深300,近1年,纯多头组合
7,筹资活动产生的现金流量净额增长率,-3.25%,-4.56%,0.02%,0.02%,0.314,0.990,沪深300,近1年,纯多头组合
8,10日乖离率,31.91%,1.73%,0.29%,0.29%,0.300,0.443,沪深300,近1年,纯多头组合
9,10日终极指标TRIX,2.95%,3.43%,0.06%,0.07%,0.660,0.278,沪深300,近1年,纯多头组合
10,10日顺势指标,2.99%,-11.51%,0.40%,0.32%,0.466,0.418,沪深300,近1年,纯多头组合
11,120日变动速率(Price Rate of Change),28.39%,2.21%,0.06%,0.07%,0.150,0.239,沪深300,近1年,纯多头组合
12,12日变动速率(Price Rate of Change),17.96%,3.33%,0.22%,0.21%,0.610,0.302,沪深300,近1年,纯多头组合
13,12日收盘价格与日期线性回归系数,21.73%,2.16%,0.26%,0.26%,0.303,0.132,沪深300,近1年,纯多头组合
14,15日顺势指标,-1.19%,-6.49%,0.31%,0.25%,0.596,0.315,沪深300,近1年,纯多头组合
15,20日乖离率,16.28%,-0.39%,0.20%,0.21%,0.534,0.243,沪深300,近1年,纯多头组合
16,20日顺势指标,-2.07%,-6.51%,0.26%,0.21%,0.638,0.322,沪深300,近1年,纯多头组合
17,24日收盘价格与日期线性回归系数,11.21%,1.64%,0.18%,0.19%,0.684,0.270,沪深300,近1年,纯多头组合
18,5日乖离率,27.43%,-0.62%,0.42%,0.43%,0.843,0.626,沪深300,近1年,纯多头组合
19,5日终极指标TRIX,22.59%,2.74%,0.13%,0.13%,0.054,0.489,沪深300,近1年,纯多头组合
20,60日乖离率,11.05%,1.47%,0.10%,0.12%,0.119,0.096,沪深300,近1年,纯多头组合
21,60日变动速率(Price Rate of Change),18.06%,-2.50%,0.09%,0.09%,0.526,0.813,沪深300,近1年,纯多头组合
22,6日变动速率(Price Rate of Change),19.71%,5.06%,0.31%,0.30%,0.822,0.487,沪深300,近1年,纯多头组合
23,6日收盘价格与日期线性回归系数,28.38%,0.17%,0.38%,0.39%,0.317,0.286,沪深300,近1年,纯多头组合
24,88日顺势指标,5.39%,-9.12%,0.11%,0.09%,0.922,0.361,沪深300,近1年,纯多头组合
25,Aroon指标上轨,-9.57%,0.10%,0.28%,0.15%,0.726,0.944,沪深300,近1年,纯多头组合
26,Aroon指标下轨,3.97%,4.30%,0.15%,0.27%,0.476,0.350,沪深300,近1年,纯多头组合
27,BBI动量,3.67%,14.93%,0.31%,0.29%,0.746,0.884,沪深300,近1年,纯多头组合
28,CR指标,1.89%,-0.62%,0.15%,0.14%,0.325,0.813,沪深300,近1年,纯多头组合
29,单日价量趋势12均值,-2.68%,7.13%,0.19%,0.16%,0.850,0.284,沪深300,近1年,纯多头组合
30,单日价量趋势6日均值,3.74%,2.56%,0.27%,0.25%,0.595,0.991,沪深300,近1年,纯多头组合
31,单日价量趋势,0.01%,11.39%,0.70%,0.72%,0.191,0.709,沪深300,近1年,纯多头组合
32,多头力道,9.20%,5.23%,0.27%,0.26%,0.474,0.784,沪深300,近1年,纯多头组合
33,当前股价除以过去一个月股价均值再减1,18.10%,2.64%,0.19%,0.20%,0.986,0.854,沪深300,近1年,纯多头组合
34,当前股价除以过去一年股价均值再减1,31.00%,-7.47%,0.03%,0.05%,0.352,0.057,沪深300,近1年,纯多头组合
35,当前股价除以过去三个月股价均值再减1,10.34%,1.55%,0.10%,0.12%,0.564,0.866,沪深300,近1年,纯多头组合
36,梅斯线,1.02%,10.93%,0.09%,0.09%,0.411,0.206,沪深300,近1年,纯多头组合
37,空头力道,21.08%,-8.89%,0.24%,0.26%,0.509,0.010,沪深300,近1年,纯多头组合
38,120日年化收益方差,-54.86%,34.95%,0.02%,0.02%,0.337,0.083,沪深300,近1年,纯多头组合
39,20日年化收益方差,-35.82%,34.97%,0.09%,0.08%,0.358,0.743,沪深300,近1年,纯多头组合
40,60日年化收益方差,-43.24%,34.77%,0.03%,0.03%,0.286,0.884,沪深300,近1年,纯多头组合
41,个股收益的120日偏度,-19.59%,11.81%,0.03%,0.04%,0.113,0.478,沪深300,近1年,纯多头组合
42,个股收益的120日峰度,-2.39%,-7.60%,0.05%,0.03%,0.486,0.360,沪深300,近1年,纯多头组合
43,个股收益的20日偏度,-28.84%,6.46%,0.15%,0.15%,0.299,0.320,沪深300,近1年,纯多头组合
44,个股收益的20日峰度,1.11%,3.98%,0.19%,0.15%,0.060,0.592,沪深300,近1年,纯多头组合
45,个股收益的60日偏度,-11.29%,10.57%,0.06%,0.06%,0.438,0.530,沪深300,近1年,纯多头组合
46,个股收益的60日峰度,-1.18%,3.56%,0.08%,0.06%,0.496,0.394,沪深300,近1年,纯多头组合
47,净债务,22.20%,-12.53%,0.00%,0.00%,0.374,0.242,沪深300,近1年,纯多头组合
48,净利润TTM,45.46%,-18.41%,0.01%,0.00%,0.794,0.437,沪深300,近1年,纯多头组合
49,净运营资本,-5.40%,-3.44%,0.00%,0.00%,0.698,0.736,沪深300,近1年,纯多头组合
50,利润总额TTM,65.17%,-17.83%,0.00%,0.00%,0.893,0.152,沪深300,近1年,纯多头组合
51,归属于母公司股东的净利润TTM,45.46%,-18.41%,0.01%,0.00%,0.028,0.060,沪深300,近1年,纯多头组合
52,息前净利润,-594.15%,-10.63%,0.01%,0.01%,0.161,0.549,沪深300,近1年,纯多头组合
53,流通市值,28.75%,-14.23%,0.01%,0.01%,0.297,0.365,沪深300,近1年,纯多头组合
54,现金流市值比,-7.88%,4.34%,0.01%,0.01%,0.996,0.973,沪深300,近1年,纯多头组合
