序号,因子名称,IC均率,IR值,最大分位数超额年化收益率,最小分位数超额年化收益率
1,120日平均换手率,0.767,0.969,50.66,3.87
2,流动比率,0.264,0.362,43.96,-10.77
3,240日平均换手率,0.785,0.393,42.4,5.18
4,60日平均换手率,0.347,0.515,40.02,-0.88
5,20日年化收益方差,0.358,0.743,34.97,-35.82
6,60日年化收益方差,0.286,0.884,34.77,-43.24
7,10日移动均线,0.122,0.907,31.86,1.45
8,10日平均换手率,0.892,0.551,31.7,-4.05
9,20日平均换手率,0.302,0.972,30.22,-4.68
10,5日移动均线,0.759,0.311,28.34,-0.61
11,应收账款周转天数,0.794,0.749,23.98,-4.6
12,存货周转天数,0.83,0.811,23.14,-12.1
13,20日成交金额的标准差,0.715,0.832,22.7,-22.45
14,12日移动均线,0.084,0.841,21.35,1.87
15,120日移动均线,0.361,0.992,20.9,-63.44
16,12日指数移动均线,0.845,0.31,18.31,2.63
17,ARBR,0.182,0.657,17.58,-3.24
18,10日指数移动均线,0.572,0.665,17.17,3.09
19,上轨线（布林线）指标,0.797,0.393,17.03,-17.51
20,20日移动均线,0.572,0.427,16.14,-0.48
21,管理费用与营业总收入之比,0.18,0.305,15.92,-0.22
22,每股净资产,0.471,0.814,15.78,-5.27
23,股东权益比率,0.238,0.517,14.99,-11.81
24,BBI动量,0.746,0.884,14.93,3.67
25,6日均幅指标,0.337,0.775,14.86,-24.95
26,因子WVAD的6日均值,0.17,0.359,14.28,-6.42
27,tvma6,0.186,0.632,13.88,-20.06
28,6日成交金额的标准差,0.375,0.516,13.42,-8.39
29,10日平均换手率与120日平均换手率之比,0.566,0.897,12.59,-10.21
30,净资产增长率,0.233,0.986,12.3,-1.36
31,人气指标,0.507,0.371,11.96,-4.36
32,26日指数移动均线,0.088,0.514,11.92,1.22
33,个股收益的120日偏度,0.113,0.478,11.81,-19.59
34,单日价量趋势,0.191,0.709,11.39,0.01
35,个股收益的60日偏度,0.438,0.53,10.57,-11.29
36,5日平均换手率与120日平均换手率,0.689,0.824,9.91,-3.36
37,经营活动产生的现金流量净额与负债合计比率,0.083,0.327,8.34,9.72
38,每股收益TTM,0.092,0.654,7.87,-2.99
39,12日量变动速率指标,0.951,0.935,7.3,-5.26
40,计算VMACD因子的中间变量diff,0.708,0.517,7.15,-11.44
41,每股营业利润TTM,0.218,0.971,6.95,-2.17
42,个股收益的20日偏度,0.299,0.32,6.46,-28.84
43,每股留存收益,0.074,0.789,6.37,-11.59
44,意愿指标,0.492,0.701,5.72,-5.28
45,多头力道,0.474,0.784,5.23,9.2
46,6日变动速率(Price Rate of Change),0.822,0.487,5.06,19.71
