date,code,action,shares,price,cost,pnl
2025-11-26 00:00:00,000002,BUY,2800,5.89,4.95,
2025-11-26 00:00:00,002311,BUY,200,56.12,3.37,
2025-11-26 00:00:00,600377,BUY,1200,13.05,4.7,
2025-11-26 00:00:00,600938,BUY,500,27.81,4.18,
2025-11-26 00:00:00,600029,BUY,2400,6.76,4.87,
2025-11-26 00:00:00,600886,BUY,1200,13.65,4.92,
2025-11-26 00:00:00,300832,BUY,200,57.38,3.45,
2025-11-26 00:00:00,601236,BUY,1900,8.6,4.91,
2025-11-26 00:00:00,601111,BUY,2000,8.08,4.85,
2025-11-26 00:00:00,600028,BUY,2900,5.74,5.0,
2025-11-26 00:00:00,601728,BUY,2400,6.83,4.92,
2025-11-26 00:00:00,002027,BUY,2200,7.29,4.82,
2025-12-03 00:00:00,002311,SELL,200,54.78,14.23,-0.0239
2025-12-03 00:00:00,600377,SELL,1200,12.73,19.84,-0.0245
2025-12-03 00:00:00,600938,SELL,500,28.72,18.65,0.0327
2025-12-03 00:00:00,600029,SELL,2400,7.2,22.44,0.0651
2025-12-03 00:00:00,600886,SELL,1200,13.89,21.65,0.0176
2025-12-03 00:00:00,300832,SELL,200,58.11,15.09,0.0127
2025-12-03 00:00:00,601236,SELL,1900,8.41,20.75,-0.0221
2025-12-03 00:00:00,601111,SELL,2000,8.4,21.82,0.0396
2025-12-03 00:00:00,600028,SELL,2900,5.95,22.41,0.0366
2025-12-03 00:00:00,601728,SELL,2400,6.94,21.63,0.0161
2025-12-03 00:00:00,002027,SELL,2200,7.26,20.74,-0.0041
2025-12-03 00:00:00,000725,BUY,4600,4.03,5.57,
2025-12-03 00:00:00,603369,BUY,300,36.9,3.32,
2025-12-03 00:00:00,600918,BUY,2800,6.65,5.59,
2025-12-03 00:00:00,601816,BUY,3500,5.2,5.47,
2025-12-03 00:00:00,600018,BUY,3300,5.6,5.55,
2025-12-03 00:00:00,000100,BUY,4300,4.34,5.6,
2025-12-03 00:00:00,600025,BUY,1900,9.65,5.51,
2025-12-03 00:00:00,002304,BUY,100,63.4,1.9,
2025-12-03 00:00:00,600048,BUY,2800,6.46,5.43,
2025-12-03 00:00:00,000858,BUY,100,112.97,3.39,
2025-12-10 00:00:00,000002,SELL,2800,5.25,19.09,-0.1087
2025-12-10 00:00:00,000725,SELL,4600,4.18,24.97,0.0372
2025-12-10 00:00:00,603369,SELL,300,35.27,13.74,-0.0442
2025-12-10 00:00:00,600918,SELL,2800,6.73,24.47,0.012
2025-12-10 00:00:00,601816,SELL,3500,5.15,23.41,-0.0096
2025-12-10 00:00:00,600018,SELL,3300,5.52,23.66,-0.0143
2025-12-10 00:00:00,000100,SELL,4300,4.49,25.07,0.0346
2025-12-10 00:00:00,600025,SELL,1900,9.43,23.27,-0.0228
2025-12-10 00:00:00,002304,SELL,100,62.98,8.18,-0.0066
2025-12-10 00:00:00,000858,SELL,100,109.08,14.17,-0.0344
2025-12-10 00:00:00,600036,BUY,400,40.65,4.88,
2025-12-10 00:00:00,600674,BUY,1100,14.55,4.81,
2025-12-10 00:00:00,000876,BUY,1800,8.95,4.84,
2025-12-10 00:00:00,601618,BUY,5600,2.96,4.98,
2025-12-10 00:00:00,600926,BUY,1000,15.25,4.58,
2025-12-10 00:00:00,002252,BUY,2500,6.46,4.85,
2025-12-10 00:00:00,601668,BUY,3200,5.18,4.98,
2025-12-10 00:00:00,600009,BUY,500,32.39,4.86,
2025-12-10 00:00:00,001979,BUY,1800,8.97,4.85,
2025-12-10 00:00:00,688009,BUY,3100,5.32,4.95,
2025-12-17 00:00:00,600048,SELL,2800,6.28,22.84,-0.0279
2025-12-17 00:00:00,600036,SELL,400,40.47,21.02,-0.0044
2025-12-17 00:00:00,600674,SELL,1100,14.27,20.39,-0.0192
2025-12-17 00:00:00,000876,SELL,1800,9.16,21.41,0.0235
2025-12-17 00:00:00,601618,SELL,5600,2.96,21.53,0.0
2025-12-17 00:00:00,600926,SELL,1000,15.23,19.78,-0.0013
2025-12-17 00:00:00,002252,SELL,2500,6.34,20.58,-0.0186
2025-12-17 00:00:00,601668,SELL,3200,5.18,21.53,0.0
2025-12-17 00:00:00,600009,SELL,500,30.91,20.07,-0.0457
