,2021,2022,2023,2024,2025,2026
1月,0.0,-0.0014,-0.0043,0.0754,-0.0425,0.0516
2月,0.0,-0.0008,0.0784,0.0483,-0.0149,0.0412
3月,0.0,-0.0507,0.0527,-0.0057,-0.0129,0.0049
4月,0.0,-0.0034,0.0983,0.0428,-0.0198,0.0176
5月,0.0,-0.0133,0.0345,0.057,0.0015,0.0045
6月,0.0,-0.025,0.018,-0.0032,0.0025,0.0056
7月,-0.0117,-0.0358,0.0212,0.0493,0.0155,-
8月,0.1422,-0.0387,-0.0358,-0.0114,0.1434,-
9月,0.0717,-0.0036,0.0313,0.1991,0.0388,-
10月,0.0146,-0.0364,-0.0105,0.0133,-0.0276,-
11月,0.0711,0.0587,0.0251,-0.0109,0.0098,-
12月,0.0161,-0.0343,-0.0039,0.0216,0.0339,-
