date,code,action,shares,price,cost,pnl
2021-07-05 00:00:00,600023,BUY,5300,3.12,4.97,
2021-07-05 00:00:00,600018,BUY,3700,4.41,4.9,
2021-07-05 00:00:00,601328,BUY,4700,3.51,4.95,
2021-07-05 00:00:00,601669,BUY,4700,3.51,4.95,
2021-07-05 00:00:00,600161,BUY,600,25.74,4.64,
2021-07-05 00:00:00,601398,BUY,4300,3.8,4.91,
2021-07-05 00:00:00,600026,BUY,2800,5.79,4.87,
2021-08-02 00:00:00,600018,SELL,3700,4.43,21.29,0.0045
2021-08-02 00:00:00,601328,SELL,4700,3.32,20.26,-0.0541
2021-08-02 00:00:00,600161,SELL,600,25.82,20.12,0.0031
2021-08-02 00:00:00,601398,SELL,4300,3.54,19.77,-0.0684
2021-08-02 00:00:00,600026,SELL,2800,4.81,17.49,-0.1693
2021-08-02 00:00:00,601186,BUY,2600,6.33,4.94,
2021-08-02 00:00:00,600027,BUY,6100,2.74,5.02,
2021-08-02 00:00:00,003816,BUY,7200,2.32,5.02,
2021-08-02 00:00:00,601800,BUY,2800,5.9,4.96,
2021-08-02 00:00:00,601988,BUY,7000,2.36,4.96,
2021-08-02 00:00:00,000776,BUY,1100,14.98,4.95,
2021-08-02 00:00:00,600875,BUY,1500,10.73,4.83,
2021-08-02 00:00:00,601766,BUY,3200,5.14,4.94,
2021-08-02 00:00:00,600011,BUY,4400,3.73,4.93,
2021-08-30 00:00:00,601669,SELL,4700,5.39,32.9,0.5356
2021-08-30 00:00:00,601186,SELL,2600,6.46,21.81,0.0205
2021-08-30 00:00:00,600027,SELL,6100,3.24,25.67,0.1825
2021-08-30 00:00:00,003816,SELL,7200,2.33,21.79,0.0043
2021-08-30 00:00:00,601800,SELL,2800,6.25,22.73,0.0593
2021-08-30 00:00:00,000776,SELL,1100,16.37,23.39,0.0928
2021-08-30 00:00:00,600875,SELL,1500,14.62,28.48,0.3625
2021-08-30 00:00:00,601766,SELL,3200,5.65,23.48,0.0992
2021-08-30 00:00:00,600011,SELL,4400,5.02,28.69,0.3458
2021-08-30 00:00:00,601006,BUY,3900,4.69,5.49,
2021-08-30 00:00:00,600233,BUY,2000,8.97,5.39,
2021-08-30 00:00:00,601088,BUY,1300,14.09,5.5,
2021-08-30 00:00:00,601328,BUY,5500,3.37,5.57,
2021-08-30 00:00:00,600018,BUY,3800,4.84,5.52,
2021-08-30 00:00:00,601077,BUY,6300,2.94,5.56,
2021-08-30 00:00:00,000983,BUY,2400,7.7,5.55,
2021-08-30 00:00:00,601018,BUY,5600,3.31,5.57,
2021-08-30 00:00:00,600028,BUY,5900,3.12,5.53,
2021-09-29 00:00:00,600023,SELL,5300,3.63,24.99,0.1635
2021-09-29 00:00:00,601088,SELL,1300,16.5,27.86,0.171
2021-09-29 00:00:00,600018,SELL,3800,5.21,25.71,0.0764
2021-09-29 00:00:00,601077,SELL,6300,2.94,24.05,0.0
2021-09-29 00:00:00,000983,SELL,2400,8.39,26.15,0.0896
2021-09-29 00:00:00,601018,SELL,5600,3.45,25.09,0.0423
2021-09-29 00:00:00,600028,SELL,5900,3.45,26.44,0.1058
2021-09-29 00:00:00,601398,BUY,5600,3.6,6.05,
2021-09-29 00:00:00,300498,BUY,1400,13.84,5.82,
2021-09-29 00:00:00,601288,BUY,8900,2.27,6.07,
2021-09-29 00:00:00,600026,BUY,3100,6.53,6.08,
2021-09-29 00:00:00,600887,BUY,600,32.07,5.78,
2021-09-29 00:00:00,601916,BUY,7200,2.8,6.05,
2021-09-29 00:00:00,000876,BUY,1300,14.69,5.73,
2021-11-01 00:00:00,600026,STOP_LOSS,3100,5.12,4.76,-0.2159
2021-11-03 00:00:00,601988,SELL,7000,2.38,21.64,0.0085
2021-11-03 00:00:00,601006,SELL,3900,4.89,24.77,0.0426
2021-11-03 00:00:00,600233,SELL,2000,13.52,35.12,0.5072
2021-11-03 00:00:00,601398,SELL,5600,3.57,25.96,-0.0083
2021-11-03 00:00:00,300498,SELL,1400,16.45,29.91,0.1886
2021-11-03 00:00:00,600887,SELL,600,35.56,27.71,0.1088
2021-11-03 00:00:00,601916,SELL,7200,2.72,25.43,-0.0286
2021-11-03 00:00:00,000876,SELL,1300,15.57,26.29,0.0599
2021-11-03 00:00:00,600039,BUY,3400,5.99,6.12,
2021-11-03 00:00:00,600522,BUY,1600,12.64,6.07,
2021-11-03 00:00:00,002920,BUY,100,105.35,3.16,
2021-11-03 00:00:00,000977,BUY,600,30.74,5.54,
2021-11-03 00:00:00,002916,BUY,200,78.86,4.74,
2021-11-03 00:00:00,601169,BUY,5800,3.47,6.04,
2021-11-03 00:00:00,601360,BUY,1700,11.75,6.0,
2021-11-03 00:00:00,601689,BUY,500,34.25,5.14,
2021-11-03 00:00:00,688981,BUY,300,56.99,5.13,
2021-12-01 00:00:00,601328,SELL,5500,3.54,25.29,0.0504
2021-12-01 00:00:00,601288,SELL,8900,2.24,25.89,-0.0132
2021-12-01 00:00:00,600039,SELL,3400,7.4,32.68,0.2354
2021-12-01 00:00:00,600522,SELL,1600,17.26,35.86,0.3655
2021-12-01 00:00:00,002920,SELL,100,127.79,16.6,0.213
2021-12-01 00:00:00,000977,SELL,600,32.94,25.67,0.0716
2021-12-01 00:00:00,002916,SELL,200,77.54,20.14,-0.0167
2021-12-01 00:00:00,601169,SELL,5800,3.45,25.99,-0.0058
2021-12-01 00:00:00,601360,SELL,1700,11.62,25.65,-0.0111
2021-12-01 00:00:00,601689,SELL,500,43.97,28.55,0.2838
2021-12-01 00:00:00,688981,SELL,300,54.5,21.23,-0.0437
2021-12-01 00:00:00,601818,BUY,8400,2.62,6.61,
2021-12-01 00:00:00,002422,BUY,1200,17.32,6.24,
2021-12-01 00:00:00,601916,BUY,8000,2.73,6.56,
2021-12-01 00:00:00,600016,BUY,7100,3.06,6.52,
2021-12-01 00:00:00,600377,BUY,3100,7.07,6.58,
2021-12-01 00:00:00,600918,BUY,2100,10.33,6.51,
2021-12-01 00:00:00,601077,BUY,7500,2.9,6.53,
2021-12-01 00:00:00,601998,BUY,6100,3.57,6.54,
2021-12-01 00:00:00,600015,BUY,5000,4.37,6.56,
2021-12-01 00:00:00,003816,BUY,8200,2.67,6.57,
2021-12-01 00:00:00,000999,BUY,1600,13.15,6.32,
2021-12-29 00:00:00,601818,SELL,8400,2.56,27.93,-0.0229
2021-12-29 00:00:00,002422,SELL,1200,16.89,26.32,-0.0248
2021-12-29 00:00:00,601916,SELL,8000,2.77,28.78,0.0147
2021-12-29 00:00:00,600016,SELL,7100,3.05,28.12,-0.0033
2021-12-29 00:00:00,600377,SELL,3100,7.17,28.87,0.0141
2021-12-29 00:00:00,600918,SELL,2100,9.67,26.37,-0.0639
2021-12-29 00:00:00,601077,SELL,7500,2.92,28.44,0.0069
2021-12-29 00:00:00,600015,SELL,5000,4.32,28.05,-0.0114
2021-12-29 00:00:00,003816,SELL,8200,2.72,28.97,0.0187
2021-12-29 00:00:00,000999,SELL,1600,16.57,34.43,0.2601
2021-12-29 00:00:00,600115,BUY,4400,5.0,6.61,
2021-12-29 00:00:00,601169,BUY,6300,3.49,6.6,
2021-12-29 00:00:00,601816,BUY,4900,4.55,6.7,
2021-12-29 00:00:00,600482,BUY,1100,19.72,6.51,
2021-12-29 00:00:00,601398,BUY,6200,3.59,6.68,
2021-12-29 00:00:00,002252,BUY,3400,6.54,6.68,
2021-12-29 00:00:00,600029,BUY,3300,6.72,6.66,
2021-12-29 00:00:00,601288,BUY,9900,2.25,6.69,
2021-12-29 00:00:00,601607,BUY,1200,17.8,6.41,
2021-12-29 00:00:00,601698,BUY,1500,14.81,6.67,
2022-01-27 00:00:00,601169,SELL,6300,3.53,28.88,0.0115
2022-01-27 00:00:00,600482,SELL,1100,17.07,24.39,-0.1344
2022-01-27 00:00:00,002252,SELL,3400,6.53,28.83,-0.0015
2022-01-27 00:00:00,600029,SELL,3300,7.22,30.94,0.0744
2022-01-27 00:00:00,601607,SELL,1200,17.12,26.68,-0.0382
2022-01-27 00:00:00,601698,SELL,1500,13.17,25.66,-0.1107
2022-01-27 00:00:00,600377,BUY,2900,7.41,6.45,
2022-01-27 00:00:00,601006,BUY,4300,5.09,6.57,
2022-01-27 00:00:00,601328,BUY,6000,3.69,6.65,
2022-01-27 00:00:00,601988,BUY,9100,2.42,6.61,
2022-01-27 00:00:00,601009,BUY,2800,7.86,6.61,
2022-01-27 00:00:00,601939,BUY,4600,4.73,6.53,
2022-03-03 00:00:00,601998,SELL,6100,3.67,29.07,0.028
2022-03-03 00:00:00,600115,SELL,4400,5.89,33.66,0.178
2022-03-03 00:00:00,601816,SELL,4900,4.92,31.31,0.0813
