,2021,2022,2023,2024,2025,2026
1月,0.0,-0.0684,0.0314,-0.025,-0.0265,0.0087
2月,0.0,0.0384,0.0505,0.0932,0.0101,0.0198
3月,0.0,-0.09,-0.0243,0.0202,0.0116,0.0033
4月,0.0,-0.0571,-0.0177,0.0176,0.0085,0.0264
5月,0.0,-0.105,-0.0591,0.0008,-0.0028,-0.0579
6月,0.0,0.1024,0.0167,-0.0389,0.001,-0.0057
7月,-0.0244,-0.0253,0.018,-0.0677,-0.0097,-
8月,0.0586,-0.0164,-0.0717,-0.0956,0.0258,-
9月,0.096,-0.0611,-0.0213,0.0973,-0.033,-
10月,-0.0057,-0.0257,-0.0187,0.0074,0.0211,-
11月,0.0158,0.0542,-0.0082,-0.0124,-0.0183,-
12月,-0.0068,-0.0164,-0.0057,0.0107,-0.0255,-
