,2021,2022,2023,2024,2025,2026
1月,0.0,0.0108,0.0288,0.0064,-0.0497,0.0302
2月,0.0,0.0267,0.0831,0.0801,0.0183,0.0203
3月,0.0,-0.1288,0.0435,0.0564,-0.0097,-0.0117
4月,0.0,-0.0066,0.029,0.0473,-0.0336,0.0296
5月,0.0,-0.0012,0.0295,0.0346,0.0034,0.0173
6月,0.0,0.0245,0.026,0.0215,0.0024,-0.0014
7月,0.0767,-0.0174,0.0245,0.0172,0.0058,-
8月,0.1001,0.025,-0.0218,-0.016,0.0681,-
9月,0.0743,-0.0073,0.0336,0.1769,-0.0158,-
10月,0.0053,0.0155,0.0368,0.0349,0.0179,-
11月,0.011,0.0359,-0.0039,-0.0112,0.0212,-
12月,0.02,-0.0306,0.0478,0.025,0.0138,-
