,2021,2022,2023,2024,2025,2026
1月,0.0,0.0093,0.0285,0.0062,-0.047,0.0297
2月,0.0,0.0267,0.0845,0.0805,0.0161,0.0204
3月,0.0,-0.129,0.0338,0.0595,0.0018,-0.0109
4月,0.0,-0.0066,0.0291,0.047,-0.0333,0.0283
5月,0.0,-0.0012,0.0376,0.031,0.0045,0.0025
6月,0.0,0.0632,0.0392,0.0211,-0.0052,-0.0034
7月,0.0767,-0.0177,0.0252,0.0164,0.0081,-
8月,0.1001,0.0245,-0.0205,-0.0161,0.0652,-
9月,0.072,-0.0074,0.0338,0.1755,-0.014,-
10月,0.0045,0.016,0.0384,0.0422,0.0186,-
11月,0.016,0.0425,-0.0039,-0.0193,0.0213,-
12月,0.0183,-0.0301,0.0495,0.0248,0.0223,-
