date,code,action,shares,price,cost,commission,reason,pnl
2025-07-08 00:00:00,600089,BUY,1500,12.35,18543.524999999998,5.563057499999998,AUTO,
2025-07-08 00:00:00,600176,BUY,1500,12.35,18543.524999999998,5.563057499999998,AUTO,
2025-07-08 00:00:00,600031,BUY,600,18.81,11297.285999999998,3.389185799999999,AUTO,
2025-07-08 00:00:00,600515,BUY,5100,3.65,18633.614999999998,5.590084499999999,AUTO,
2025-07-08 00:00:00,601868,BUY,8300,2.25,18693.674999999996,5.608102499999998,AUTO,
2025-07-08 00:00:00,000617,BUY,2100,8.6,18078.059999999998,5.423417999999999,AUTO,
2025-07-08 00:00:00,300316,BUY,400,28.0,11211.199999999999,3.3633599999999992,AUTO,
2025-07-08 00:00:00,000157,BUY,1800,6.92,12468.455999999998,3.740536799999999,AUTO,
2025-07-08 00:00:00,601012,BUY,1100,16.47,18135.117,5.440535099999999,AUTO,
2025-07-08 00:00:00,000425,BUY,1500,8.26,12402.39,3.7207169999999996,AUTO,
2025-07-08 00:00:00,601138,BUY,700,25.73,18029.011,5.408703299999999,AUTO,
2025-07-08 00:00:00,300274,BUY,200,72.94,14602.587999999998,4.380776399999999,AUTO,
2025-07-11 00:00:00,000617,TAKE_PROFIT,600,9.61,7.49,,,0.1174
2025-07-21 00:00:00,601868,TAKE_PROFIT,2400,2.52,7.85,,,0.12
2025-07-22 00:00:00,000157,TAKE_PROFIT,500,7.89,5.12,,,0.1402
2025-07-22 00:00:00,000425,TAKE_PROFIT,400,9.15,4.75,,,0.1077
2025-07-22 00:00:00,600031,TAKE_PROFIT,100,20.94,2.72,,,0.1132
2025-07-22 00:00:00,600089,TAKE_PROFIT,400,14.44,7.5,,,0.1692
2025-07-22 00:00:00,601868,TAKE_PROFIT,1700,2.78,6.14,,,0.2356
2025-07-24 00:00:00,600515,TAKE_PROFIT,1500,4.14,8.06,,,0.1342
2025-07-24 00:00:00,601868,TAKE_PROFIT,4200,2.98,16.25,,,0.3244
2025-07-28 00:00:00,601138,TAKE_PROFIT,200,28.84,7.49,,,0.1209
2025-07-29 00:00:00,000157,HOLDING_DECAY,400,7.39,3.84,,,0.0679
2025-07-29 00:00:00,000425,HOLDING_DECAY,400,8.58,4.46,,,0.0387
2025-07-29 00:00:00,000617,HOLDING_DECAY,500,9.71,6.31,,,0.1291
2025-07-29 00:00:00,300274,HOLDING_DECAY,100,74.6,9.69,,,0.0228
2025-07-29 00:00:00,300316,HOLDING_DECAY,200,29.13,7.57,,,0.0404
2025-07-29 00:00:00,600031,HOLDING_DECAY,200,19.93,5.18,,,0.0595
2025-07-29 00:00:00,600089,HOLDING_DECAY,400,14.02,7.28,,,0.1352
2025-07-29 00:00:00,600176,HOLDING_DECAY,500,12.49,8.11,,,0.0113
2025-07-29 00:00:00,600515,HOLDING_DECAY,1100,4.14,5.91,,,0.1342
2025-07-29 00:00:00,601012,HOLDING_DECAY,400,16.56,8.6,,,0.0055
2025-07-29 00:00:00,601138,HOLDING_DECAY,200,30.42,7.9,,,0.1823
2025-07-30 00:00:00,000157,HOLDING_DECAY,300,7.32,2.85,,,0.0578
2025-07-30 00:00:00,000425,HOLDING_DECAY,300,8.6,3.35,,,0.0412
2025-07-30 00:00:00,000617,HOLDING_DECAY,300,8.94,3.48,,,0.0395
2025-07-30 00:00:00,300274,HOLDING_DECAY,100,73.75,9.58,,,0.0111
2025-07-30 00:00:00,300316,HOLDING_DECAY,100,28.64,3.72,,,0.0229
2025-07-30 00:00:00,600031,HOLDING_DECAY,100,19.94,2.59,,,0.0601
2025-07-30 00:00:00,600089,HOLDING_DECAY,300,13.84,5.39,,,0.1206
2025-07-30 00:00:00,600176,HOLDING_DECAY,300,12.5,4.87,,,0.0121
2025-07-30 00:00:00,600515,HOLDING_DECAY,800,4.07,4.23,,,0.1151
2025-07-30 00:00:00,601012,HOLDING_DECAY,300,16.38,6.38,,,-0.0055
2025-07-30 00:00:00,601138,HOLDING_DECAY,100,32.46,4.22,,,0.2616
2025-07-31 00:00:00,601138,TAKE_PROFIT,200,34.42,8.94,,,0.3377
2025-07-31 00:00:00,000157,HOLDING_DECAY,200,7.18,1.86,,,0.0376
2025-07-31 00:00:00,000425,HOLDING_DECAY,200,8.38,2.18,,,0.0145
2025-07-31 00:00:00,000617,HOLDING_DECAY,300,8.61,3.35,,,0.0012
2025-07-31 00:00:00,300316,HOLDING_DECAY,100,27.81,3.61,,,-0.0068
2025-07-31 00:00:00,600031,HOLDING_DECAY,100,19.67,2.55,,,0.0457
2025-07-31 00:00:00,600089,HOLDING_DECAY,200,13.51,3.51,,,0.0939
2025-07-31 00:00:00,600176,HOLDING_DECAY,300,12.2,4.75,,,-0.0121
2025-07-31 00:00:00,600515,HOLDING_DECAY,600,3.93,3.06,,,0.0767
2025-07-31 00:00:00,601012,HOLDING_DECAY,200,15.76,4.09,,,-0.0431
2025-08-01 00:00:00,000157,HOLDING_DECAY,200,7.11,1.85,,,0.0275
2025-08-01 00:00:00,000425,HOLDING_DECAY,100,8.32,1.08,,,0.0073
2025-08-01 00:00:00,000617,HOLDING_DECAY,200,8.72,2.26,,,0.014
2025-08-01 00:00:00,600031,HOLDING_DECAY,100,19.52,2.54,,,0.0377
2025-08-01 00:00:00,600089,HOLDING_DECAY,100,13.4,1.74,,,0.085
2025-08-01 00:00:00,600176,HOLDING_DECAY,200,12.16,3.16,,,-0.0154
2025-08-01 00:00:00,600515,HOLDING_DECAY,400,3.91,2.03,,,0.0712
2025-08-01 00:00:00,601012,HOLDING_DECAY,100,15.92,2.07,,,-0.0334
2025-08-04 00:00:00,000157,HOLDING_DECAY,100,7.11,0.92,,,0.0275
2025-08-04 00:00:00,000425,HOLDING_DECAY,100,8.33,1.08,,,0.0085
2025-08-04 00:00:00,000617,HOLDING_DECAY,100,8.43,1.09,,,-0.0198
2025-08-04 00:00:00,600089,HOLDING_DECAY,100,13.33,1.73,,,0.0794
2025-08-04 00:00:00,600176,HOLDING_DECAY,100,12.11,1.57,,,-0.0194
2025-08-04 00:00:00,600515,HOLDING_DECAY,300,3.93,1.53,,,0.0767
2025-08-04 00:00:00,601012,HOLDING_DECAY,100,15.78,2.05,,,-0.0419
2025-08-05 00:00:00,000157,HOLDING_DECAY,100,7.15,0.93,,,0.0332
2025-08-05 00:00:00,000617,HOLDING_DECAY,100,8.44,1.1,,,-0.0186
2025-08-05 00:00:00,600176,HOLDING_DECAY,100,12.2,1.58,,,-0.0121
2025-08-05 00:00:00,600515,HOLDING_DECAY,200,3.93,1.02,,,0.0767
2025-08-05 00:00:00,600515,SELL,200,3.93,1.02,,,0.0767
2025-08-05 00:00:00,600161,BUY,900,20.9,18828.809999999998,5.648642999999999,AUTO,
2025-08-05 00:00:00,600522,BUY,1400,14.25,19969.949999999997,5.9909849999999985,AUTO,
2025-08-05 00:00:00,601059,BUY,1100,17.39,19148.129,5.7444387,AUTO,
2025-08-05 00:00:00,002027,BUY,2600,7.63,19857.837999999996,5.9573513999999985,AUTO,
2025-08-05 00:00:00,601288,BUY,2100,6.32,13285.271999999999,3.9855815999999993,AUTO,
2025-08-05 00:00:00,002415,BUY,700,28.34,19857.837999999996,5.9573513999999985,AUTO,
2025-08-05 00:00:00,600066,BUY,800,24.17,19355.336,5.806600799999999,AUTO,
2025-08-05 00:00:00,601658,BUY,2300,5.72,13169.155999999997,3.950746799999999,AUTO,
2025-08-05 00:00:00,601998,BUY,1600,8.24,13197.184,3.9591551999999997,AUTO,
2025-08-05 00:00:00,601988,BUY,2400,5.54,13309.295999999998,3.992788799999999,AUTO,
2025-08-05 00:00:00,600803,BUY,1000,18.65,18668.649999999994,5.6005949999999975,AUTO,
