,2021,2022,2023,2024,2025,2026
1月,0.0,0.0061,0.0481,0.0186,-0.0479,0.0254
2月,0.0,0.048,0.0788,0.0703,0.0085,0.0325
3月,0.0,-0.1256,0.0456,0.0476,0.0053,0.0021
4月,0.0,-0.0246,-0.001,0.0556,-0.0508,0.0125
5月,0.0,0.0027,0.0428,0.0408,-0.0003,0.0092
6月,0.0,0.0413,-0.0004,0.0092,-0.0086,0.0036
7月,0.058,-0.0357,0.0252,0.0197,0.0076,-
8月,0.1157,-0.0158,-0.0544,-0.0139,0.1107,-
9月,0.0747,-0.0057,0.0336,0.2037,-0.0084,-
10月,0.0102,-0.0079,0.038,0.0051,0.0143,-
11月,0.0046,0.0321,0.0006,0.0104,0.0396,-
12月,0.0006,-0.0174,0.0359,0.0311,0.0228,-
