,2021,2022,2023,2024,2025,2026
1月,0.0,-0.0004,0.0385,-0.0004,-0.0391,0.023
2月,0.0,0.0486,0.0815,0.1061,0.0346,0.0597
3月,0.0,-0.1054,0.0379,0.0588,0.002,0.0113
4月,0.0,-0.036,0.0071,0.0451,-0.0603,0.0348
5月,0.0,0.0056,0.0414,0.0294,0.0084,0.0145
6月,0.0,0.0442,-0.0054,-0.0045,-0.0291,0.0028
7月,0.0478,-0.021,0.0187,0.0134,0.0201,-
8月,0.096,-0.0285,-0.0521,-0.0145,0.1022,-
9月,0.0528,-0.0069,0.0351,0.1985,-0.0078,-
10月,0.0116,-0.0106,0.0372,0.0332,0.0144,-
11月,0.0039,0.0284,-0.0191,0.0166,0.0259,-
12月,0.0079,-0.029,0.0282,0.0163,0.0182,-
