date,code,action,shares,price,cost,commission,reason,pnl
2021-07-05 00:00:00,600018,BUY,4500,4.41,19864.844999999998,5.959453499999999,AUTO,
2021-07-05 00:00:00,600161,BUY,700,25.74,18036.017999999996,5.410805399999998,AUTO,
2021-07-05 00:00:00,600026,BUY,3400,5.79,19705.685999999998,5.911705799999999,AUTO,
2021-07-05 00:00:00,600111,BUY,400,22.12,8856.848,2.6570544,AUTO,
2021-07-05 00:00:00,603993,BUY,1900,5.07,9642.632999999998,2.892789899999999,AUTO,
2021-07-05 00:00:00,000630,BUY,3900,2.56,9993.984,2.9981952,AUTO,
2021-07-05 00:00:00,601669,BUY,5600,3.51,19675.655999999995,5.902696799999998,AUTO,
2021-07-05 00:00:00,600023,BUY,6400,3.12,19987.967999999997,5.996390399999998,AUTO,
2021-07-05 00:00:00,600845,BUY,700,28.37,19878.858999999997,5.963657699999999,AUTO,
2021-07-05 00:00:00,603195,BUY,300,65.8,19759.739999999998,5.927921999999999,AUTO,
2021-07-05 00:00:00,000408,BUY,400,21.07,8436.428,2.5309283999999996,AUTO,
2021-07-05 00:00:00,002466,BUY,100,66.67,6673.666999999999,2.0021000999999994,AUTO,
2021-07-07 00:00:00,600111,TAKE_PROFIT,100,24.51,3.18,,,0.108
2021-07-07 00:00:00,603993,TAKE_PROFIT,500,5.66,3.68,,,0.1164
2021-07-12 00:00:00,600111,TAKE_PROFIT,300,31.86,12.41,,,0.4403
2021-07-12 00:00:00,600161,TAKE_PROFIT,200,29.52,7.67,,,0.1469
2021-07-12 00:00:00,603993,TAKE_PROFIT,400,6.3,3.27,,,0.2426
2021-07-21 00:00:00,000630,TAKE_PROFIT,1100,2.83,4.04,,,0.1055
2021-07-23 00:00:00,000630,TAKE_PROFIT,800,3.27,3.4,,,0.2773
2021-07-23 00:00:00,601669,TAKE_PROFIT,1600,3.99,8.29,,,0.1368
2021-07-26 00:00:00,603993,TAKE_PROFIT,1000,6.65,8.64,,,0.3116
2021-07-26 00:00:00,000408,HOLDING_DECAY,200,22.79,5.92,,,0.0816
2021-07-26 00:00:00,000630,HOLDING_DECAY,600,3.23,2.52,,,0.2617
2021-07-26 00:00:00,002466,HOLDING_DECAY,100,87.57,11.37,,,0.3135
2021-07-26 00:00:00,600018,HOLDING_DECAY,1400,4.42,8.04,,,0.0023
2021-07-26 00:00:00,600023,HOLDING_DECAY,2000,2.96,7.69,,,-0.0513
2021-07-26 00:00:00,600026,HOLDING_DECAY,1100,5.03,7.19,,,-0.1313
2021-07-26 00:00:00,600161,HOLDING_DECAY,200,25.9,6.73,,,0.0062
2021-07-26 00:00:00,600845,HOLDING_DECAY,300,30.07,11.72,,,0.0599
2021-07-26 00:00:00,601669,HOLDING_DECAY,1200,4.19,6.53,,,0.1937
2021-07-26 00:00:00,603195,HOLDING_DECAY,100,60.05,7.8,,,-0.0874
2021-07-27 00:00:00,600845,TAKE_PROFIT,100,31.76,4.12,,,0.1195
2021-07-27 00:00:00,000408,HOLDING_DECAY,100,22.25,2.89,,,0.056
2021-07-27 00:00:00,000630,HOLDING_DECAY,500,3.28,2.13,,,0.2812
2021-07-27 00:00:00,600018,HOLDING_DECAY,1000,4.32,5.61,,,-0.0204
2021-07-27 00:00:00,600023,HOLDING_DECAY,1400,2.96,5.38,,,-0.0513
2021-07-27 00:00:00,600026,HOLDING_DECAY,700,5.0,4.55,,,-0.1364
2021-07-27 00:00:00,600161,HOLDING_DECAY,100,25.23,3.28,,,-0.0198
2021-07-27 00:00:00,600845,HOLDING_DECAY,100,31.76,4.12,,,0.1195
2021-07-27 00:00:00,601669,HOLDING_DECAY,900,4.14,4.84,,,0.1795
2021-07-27 00:00:00,603195,HOLDING_DECAY,100,56.83,7.38,,,-0.1363
2021-07-28 00:00:00,000408,HOLDING_DECAY,100,20.67,2.68,,,-0.019
2021-07-28 00:00:00,000630,HOLDING_DECAY,300,3.16,1.23,,,0.2344
2021-07-28 00:00:00,600018,HOLDING_DECAY,700,4.32,3.93,,,-0.0204
2021-07-28 00:00:00,600023,HOLDING_DECAY,900,2.94,3.44,,,-0.0577
2021-07-28 00:00:00,600026,HOLDING_DECAY,500,5.01,3.25,,,-0.1347
2021-07-28 00:00:00,600161,HOLDING_DECAY,100,25.05,3.25,,,-0.0268
2021-07-28 00:00:00,600845,HOLDING_DECAY,100,33.23,4.32,,,0.1713
2021-07-28 00:00:00,601669,HOLDING_DECAY,600,4.06,3.16,,,0.1567
2021-07-28 00:00:00,603195,HOLDING_DECAY,100,56.47,7.33,,,-0.1418
2021-07-29 00:00:00,000630,HOLDING_DECAY,200,3.21,0.83,,,0.2539
2021-07-29 00:00:00,600018,HOLDING_DECAY,500,4.34,2.82,,,-0.0159
2021-07-29 00:00:00,600023,HOLDING_DECAY,700,2.94,2.67,,,-0.0577
2021-07-29 00:00:00,600026,HOLDING_DECAY,400,4.97,2.58,,,-0.1416
2021-07-29 00:00:00,600161,HOLDING_DECAY,100,25.54,3.32,,,-0.0078
2021-07-29 00:00:00,600845,HOLDING_DECAY,100,35.47,4.61,,,0.2503
2021-07-29 00:00:00,601669,HOLDING_DECAY,400,4.07,2.11,,,0.1595
2021-07-30 00:00:00,601669,TAKE_PROFIT,200,4.48,1.16,,,0.2764
2021-07-30 00:00:00,000630,HOLDING_DECAY,200,3.3,0.86,,,0.2891
2021-07-30 00:00:00,600018,HOLDING_DECAY,300,4.31,1.68,,,-0.0227
2021-07-30 00:00:00,600023,HOLDING_DECAY,500,2.97,1.93,,,-0.0481
2021-07-30 00:00:00,600026,HOLDING_DECAY,300,4.72,1.84,,,-0.1848
2021-07-30 00:00:00,601669,HOLDING_DECAY,300,4.48,1.75,,,0.2764
2021-08-02 00:00:00,601669,TAKE_PROFIT,400,4.93,2.56,,,0.4046
2021-08-02 00:00:00,000630,HOLDING_DECAY,100,3.26,0.42,,,0.2734
2021-08-02 00:00:00,600018,HOLDING_DECAY,200,4.43,1.15,,,0.0045
2021-08-02 00:00:00,600023,HOLDING_DECAY,300,2.97,1.16,,,-0.0481
2021-08-02 00:00:00,600026,HOLDING_DECAY,200,4.81,1.25,,,-0.1693
2021-08-02 00:00:00,600018,SELL,400,4.43,2.3,,,0.0045
2021-08-02 00:00:00,600026,SELL,200,4.81,1.25,,,-0.1693
2021-08-02 00:00:00,000630,SELL,100,3.26,0.42,,,0.2734
2021-08-02 00:00:00,600023,SELL,600,2.97,2.31,,,-0.0481
2021-08-02 00:00:00,601186,BUY,2700,6.33,17108.090999999997,5.132427299999999,AUTO,
2021-08-02 00:00:00,000776,BUY,1100,14.98,16494.478,4.9483434,AUTO,
2021-08-02 00:00:00,601669,BUY,3500,4.93,17272.254999999997,5.181676499999999,AUTO,
2021-08-02 00:00:00,601800,BUY,2900,5.9,17127.11,5.138133,AUTO,
2021-08-02 00:00:00,601877,BUY,400,42.05,16836.819999999996,5.051045999999999,AUTO,
2021-08-02 00:00:00,300498,BUY,1300,12.52,16292.275999999998,4.8876827999999986,AUTO,
2021-08-02 00:00:00,000768,BUY,500,31.46,15745.729999999998,4.723718999999999,AUTO,
2021-08-02 00:00:00,601138,BUY,1600,10.39,16640.624,4.992187199999999,AUTO,
2021-08-02 00:00:00,600011,BUY,4600,3.73,17175.158,5.1525473999999996,AUTO,
2021-08-02 00:00:00,600027,BUY,6300,2.74,17279.262,5.183778599999999,AUTO,
2021-08-02 00:00:00,000338,BUY,1100,15.87,17474.457,5.242337099999999,AUTO,
2021-08-02 00:00:00,600183,BUY,600,25.78,15483.467999999999,4.645040399999999,AUTO,
2021-08-06 00:00:00,601877,TAKE_PROFIT,100,47.11,6.12,,,0.1203
2021-08-16 00:00:00,000338,TAKE_PROFIT,300,17.58,6.85,,,0.1078
2021-08-16 00:00:00,000776,TAKE_PROFIT,300,16.49,6.42,,,0.1008
2021-08-18 00:00:00,601669,TAKE_PROFIT,1000,5.62,7.3,,,0.14
2021-08-19 00:00:00,000776,TAKE_PROFIT,200,18.2,4.73,,,0.215
2021-08-19 00:00:00,600011,TAKE_PROFIT,1300,4.39,7.41,,,0.1769
2021-08-20 00:00:00,600011,TAKE_PROFIT,900,4.48,5.24,,,0.2011
2021-08-23 00:00:00,600011,TAKE_PROFIT,2400,4.93,15.37,,,0.3217
2021-08-23 00:00:00,600027,TAKE_PROFIT,1800,3.19,7.46,,,0.1642
2021-08-23 00:00:00,000338,HOLDING_DECAY,300,16.43,6.4,,,0.0353
2021-08-23 00:00:00,000768,HOLDING_DECAY,200,33.48,8.7,,,0.0642
2021-08-23 00:00:00,000776,HOLDING_DECAY,200,18.59,4.83,,,0.241
2021-08-23 00:00:00,300498,HOLDING_DECAY,400,12.56,6.52,,,0.0032
2021-08-23 00:00:00,600027,HOLDING_DECAY,1400,3.19,5.8,,,0.1642
2021-08-23 00:00:00,600183,HOLDING_DECAY,200,22.53,5.85,,,-0.1261
2021-08-23 00:00:00,601138,HOLDING_DECAY,500,10.59,6.88,,,0.0192
2021-08-23 00:00:00,601186,HOLDING_DECAY,900,6.34,7.41,,,0.0016
2021-08-23 00:00:00,601669,HOLDING_DECAY,800,5.6,5.82,,,0.1359
2021-08-23 00:00:00,601800,HOLDING_DECAY,900,6.06,7.08,,,0.0271
2021-08-23 00:00:00,601877,HOLDING_DECAY,100,47.1,6.12,,,0.1201
2021-08-24 00:00:00,000338,HOLDING_DECAY,200,16.52,4.29,,,0.041
2021-08-24 00:00:00,000768,HOLDING_DECAY,100,32.08,4.17,,,0.0197
2021-08-24 00:00:00,000776,HOLDING_DECAY,200,18.9,4.91,,,0.2617
2021-08-24 00:00:00,300498,HOLDING_DECAY,300,12.72,4.96,,,0.016
2021-08-24 00:00:00,600027,HOLDING_DECAY,1000,3.14,4.08,,,0.146
2021-08-24 00:00:00,600183,HOLDING_DECAY,200,22.13,5.75,,,-0.1416
2021-08-24 00:00:00,601138,HOLDING_DECAY,400,10.6,5.51,,,0.0202
2021-08-24 00:00:00,601186,HOLDING_DECAY,600,6.34,4.94,,,0.0016
2021-08-24 00:00:00,601669,HOLDING_DECAY,600,5.45,4.25,,,0.1055
2021-08-24 00:00:00,601800,HOLDING_DECAY,600,5.99,4.67,,,0.0153
2021-08-24 00:00:00,601877,HOLDING_DECAY,100,48.96,6.36,,,0.1643
2021-08-25 00:00:00,000338,HOLDING_DECAY,100,16.23,2.11,,,0.0227
2021-08-25 00:00:00,000768,HOLDING_DECAY,100,31.49,4.09,,,0.001
2021-08-25 00:00:00,000776,HOLDING_DECAY,100,18.74,2.43,,,0.251
2021-08-25 00:00:00,300498,HOLDING_DECAY,200,12.71,3.3,,,0.0152
2021-08-25 00:00:00,600027,HOLDING_DECAY,700,3.23,2.94,,,0.1788
2021-08-25 00:00:00,600183,HOLDING_DECAY,100,22.42,2.91,,,-0.1303
2021-08-25 00:00:00,601138,HOLDING_DECAY,300,10.53,4.1,,,0.0135
2021-08-25 00:00:00,601186,HOLDING_DECAY,400,6.44,3.35,,,0.0174
2021-08-25 00:00:00,601669,HOLDING_DECAY,400,5.49,2.85,,,0.1136
