date,code,action,shares,price,cost,commission,reason,pnl
2021-07-05 00:00:00,600018,BUY,3700,4.41,16333.316999999997,4.899995099999999,AUTO,
2021-07-05 00:00:00,600023,BUY,5300,3.12,16552.536,4.9657608,AUTO,
2021-07-05 00:00:00,600161,BUY,600,25.74,15459.443999999996,4.637833199999998,AUTO,
2021-07-05 00:00:00,600026,BUY,2800,5.79,16228.211999999998,4.868463599999999,AUTO,
2021-07-05 00:00:00,000630,BUY,6500,2.56,16656.64,4.996992,AUTO,
2021-07-05 00:00:00,603993,BUY,3200,5.07,16240.223999999998,4.872067199999999,AUTO,
2021-07-05 00:00:00,601669,BUY,4700,3.51,16513.496999999996,4.954049099999998,AUTO,
2021-07-05 00:00:00,600111,BUY,700,22.12,15499.483999999999,4.649845199999999,AUTO,
2021-07-05 00:00:00,601398,BUY,4300,3.8,16356.339999999998,4.906901999999999,AUTO,
2021-07-05 00:00:00,600010,BUY,10600,1.57,16658.642,4.9975926,AUTO,
2021-07-05 00:00:00,600845,BUY,500,28.37,14199.184999999998,4.259755499999999,AUTO,
2021-07-05 00:00:00,000999,BUY,1100,14.23,15668.652999999998,4.700595899999999,AUTO,
2021-07-07 00:00:00,600111,TAKE_PROFIT,200,24.51,6.37,,,0.108
2021-07-07 00:00:00,603993,TAKE_PROFIT,900,5.66,6.62,,,0.1164
2021-07-09 00:00:00,600010,TAKE_PROFIT,3100,1.84,7.41,,,0.172
2021-07-09 00:00:00,600111,TAKE_PROFIT,100,28.97,3.76,,,0.3097
2021-07-12 00:00:00,600010,TAKE_PROFIT,2200,1.96,5.6,,,0.2484
2021-07-12 00:00:00,600111,TAKE_PROFIT,400,31.86,16.55,,,0.4403
2021-07-12 00:00:00,600161,TAKE_PROFIT,100,29.52,3.83,,,0.1469
2021-07-12 00:00:00,603993,TAKE_PROFIT,600,6.3,4.91,,,0.2426
2021-07-13 00:00:00,600010,TAKE_PROFIT,5300,2.16,14.87,,,0.3758
2021-07-21 00:00:00,000630,TAKE_PROFIT,1900,2.83,6.98,,,0.1055
2021-07-23 00:00:00,000630,TAKE_PROFIT,1300,3.27,5.52,,,0.2773
2021-07-23 00:00:00,601669,TAKE_PROFIT,1400,3.99,7.25,,,0.1368
2021-07-26 00:00:00,603993,TAKE_PROFIT,1700,6.65,14.68,,,0.3116
2021-07-26 00:00:00,000630,HOLDING_DECAY,1000,3.23,4.19,,,0.2617
2021-07-26 00:00:00,000999,HOLDING_DECAY,400,12.7,6.6,,,-0.1075
2021-07-26 00:00:00,600018,HOLDING_DECAY,1200,4.42,6.89,,,0.0023
2021-07-26 00:00:00,600023,HOLDING_DECAY,1600,2.96,6.15,,,-0.0513
2021-07-26 00:00:00,600026,HOLDING_DECAY,900,5.03,5.88,,,-0.1313
2021-07-26 00:00:00,600161,HOLDING_DECAY,200,25.9,6.73,,,0.0062
2021-07-26 00:00:00,600845,HOLDING_DECAY,200,30.07,7.81,,,0.0599
2021-07-26 00:00:00,601398,HOLDING_DECAY,1300,3.6,6.08,,,-0.0526
2021-07-26 00:00:00,601669,HOLDING_DECAY,1000,4.19,5.44,,,0.1937
2021-07-27 00:00:00,000630,HOLDING_DECAY,700,3.28,2.98,,,0.2812
2021-07-27 00:00:00,000999,HOLDING_DECAY,300,12.5,4.87,,,-0.1216
2021-07-27 00:00:00,600018,HOLDING_DECAY,800,4.32,4.49,,,-0.0204
2021-07-27 00:00:00,600023,HOLDING_DECAY,1200,2.96,4.61,,,-0.0513
2021-07-27 00:00:00,600026,HOLDING_DECAY,600,5.0,3.9,,,-0.1364
2021-07-27 00:00:00,600161,HOLDING_DECAY,100,25.23,3.28,,,-0.0198
2021-07-27 00:00:00,600845,HOLDING_DECAY,100,31.76,4.12,,,0.1195
2021-07-27 00:00:00,601398,HOLDING_DECAY,900,3.56,4.16,,,-0.0632
2021-07-27 00:00:00,601669,HOLDING_DECAY,700,4.14,3.76,,,0.1795
2021-07-28 00:00:00,000630,HOLDING_DECAY,500,3.16,2.05,,,0.2344
2021-07-28 00:00:00,000999,HOLDING_DECAY,200,12.5,3.25,,,-0.1216
2021-07-28 00:00:00,600018,HOLDING_DECAY,600,4.32,3.37,,,-0.0204
2021-07-28 00:00:00,600023,HOLDING_DECAY,800,2.94,3.05,,,-0.0577
2021-07-28 00:00:00,600026,HOLDING_DECAY,400,5.01,2.6,,,-0.1347
2021-07-28 00:00:00,600161,HOLDING_DECAY,100,25.05,3.25,,,-0.0268
2021-07-28 00:00:00,600845,HOLDING_DECAY,100,33.23,4.32,,,0.1713
2021-07-28 00:00:00,601398,HOLDING_DECAY,700,3.6,3.27,,,-0.0526
2021-07-28 00:00:00,601669,HOLDING_DECAY,500,4.06,2.64,,,0.1567
2021-07-29 00:00:00,000630,HOLDING_DECAY,400,3.21,1.67,,,0.2539
2021-07-29 00:00:00,000999,HOLDING_DECAY,100,12.76,1.66,,,-0.1033
2021-07-29 00:00:00,600018,HOLDING_DECAY,400,4.34,2.25,,,-0.0159
2021-07-29 00:00:00,600023,HOLDING_DECAY,600,2.94,2.29,,,-0.0577
2021-07-29 00:00:00,600026,HOLDING_DECAY,300,4.97,1.94,,,-0.1416
2021-07-29 00:00:00,600161,HOLDING_DECAY,100,25.54,3.32,,,-0.0078
2021-07-29 00:00:00,600845,HOLDING_DECAY,100,35.47,4.61,,,0.2503
2021-07-29 00:00:00,601398,HOLDING_DECAY,500,3.56,2.31,,,-0.0632
2021-07-29 00:00:00,601669,HOLDING_DECAY,400,4.07,2.11,,,0.1595
2021-07-30 00:00:00,601669,TAKE_PROFIT,200,4.48,1.16,,,0.2764
2021-07-30 00:00:00,000630,HOLDING_DECAY,300,3.3,1.29,,,0.2891
2021-07-30 00:00:00,000999,HOLDING_DECAY,100,12.67,1.65,,,-0.1096
2021-07-30 00:00:00,600018,HOLDING_DECAY,300,4.31,1.68,,,-0.0227
2021-07-30 00:00:00,600023,HOLDING_DECAY,400,2.97,1.54,,,-0.0481
2021-07-30 00:00:00,600026,HOLDING_DECAY,200,4.72,1.23,,,-0.1848
2021-07-30 00:00:00,601398,HOLDING_DECAY,300,3.53,1.38,,,-0.0711
2021-07-30 00:00:00,601669,HOLDING_DECAY,200,4.48,1.16,,,0.2764
2021-08-02 00:00:00,601669,TAKE_PROFIT,300,4.93,1.92,,,0.4046
2021-08-02 00:00:00,000630,HOLDING_DECAY,200,3.26,0.85,,,0.2734
2021-08-02 00:00:00,600018,HOLDING_DECAY,200,4.43,1.15,,,0.0045
2021-08-02 00:00:00,600023,HOLDING_DECAY,300,2.97,1.16,,,-0.0481
2021-08-02 00:00:00,600026,HOLDING_DECAY,200,4.81,1.25,,,-0.1693
2021-08-02 00:00:00,601398,HOLDING_DECAY,200,3.54,0.92,,,-0.0684
2021-08-02 00:00:00,600018,SELL,200,4.43,1.15,,,0.0045
2021-08-02 00:00:00,600026,SELL,200,4.81,1.25,,,-0.1693
2021-08-02 00:00:00,000630,SELL,200,3.26,0.85,,,0.2734
2021-08-02 00:00:00,601398,SELL,400,3.54,1.84,,,-0.0684
2021-08-02 00:00:00,601186,BUY,3100,6.33,19642.623,5.892786899999999,AUTO,
2021-08-02 00:00:00,601800,BUY,3400,5.9,20080.06,6.024018,AUTO,
2021-08-02 00:00:00,000776,BUY,1300,14.98,19493.474,5.848042199999999,AUTO,
2021-08-02 00:00:00,600027,BUY,4900,2.74,13439.426,4.031827799999999,AUTO,
2021-08-02 00:00:00,600011,BUY,3600,3.73,13441.427999999998,4.032428399999999,AUTO,
2021-08-02 00:00:00,003816,BUY,5800,2.32,13469.455999999996,4.040836799999998,AUTO,
2021-08-02 00:00:00,601766,BUY,3900,5.14,20066.045999999995,6.019813799999998,AUTO,
2021-08-02 00:00:00,600875,BUY,1800,10.73,19333.314,5.799994199999999,AUTO,
2021-08-02 00:00:00,601669,BUY,4100,4.93,20233.213,6.069963899999999,AUTO,
2021-08-02 00:00:00,600585,BUY,600,31.6,18978.96,5.693687999999999,AUTO,
2021-08-02 00:00:00,300498,BUY,1600,12.52,20052.031999999996,6.015609599999999,AUTO,
2021-08-03 00:00:00,600023,HOLDING_DECAY,200,2.98,0.77,,,-0.0449
2021-08-04 00:00:00,600023,HOLDING_DECAY,100,2.97,0.39,,,-0.0481
2021-08-05 00:00:00,600023,HOLDING_DECAY,100,3.05,0.4,,,-0.0224
2021-08-11 00:00:00,600875,TAKE_PROFIT,500,11.95,7.76,,,0.1137
2021-08-16 00:00:00,000776,TAKE_PROFIT,300,16.49,6.42,,,0.1008
2021-08-17 00:00:00,600875,TAKE_PROFIT,300,13.06,5.09,,,0.2171
2021-08-18 00:00:00,600875,TAKE_PROFIT,1000,14.37,18.66,,,0.3392
2021-08-18 00:00:00,601669,TAKE_PROFIT,1200,5.62,8.76,,,0.14
2021-08-19 00:00:00,000776,TAKE_PROFIT,300,18.2,7.09,,,0.215
2021-08-19 00:00:00,600011,TAKE_PROFIT,1000,4.39,5.7,,,0.1769
2021-08-20 00:00:00,600011,TAKE_PROFIT,700,4.48,4.07,,,0.2011
2021-08-23 00:00:00,600011,TAKE_PROFIT,1900,4.93,12.16,,,0.3217
2021-08-23 00:00:00,600027,TAKE_PROFIT,1400,3.19,5.8,,,0.1642
2021-08-23 00:00:00,000776,HOLDING_DECAY,300,18.59,7.24,,,0.241
2021-08-23 00:00:00,003816,HOLDING_DECAY,1800,2.35,5.49,,,0.0129
2021-08-23 00:00:00,300498,HOLDING_DECAY,500,12.56,8.16,,,0.0032
2021-08-23 00:00:00,600027,HOLDING_DECAY,1100,3.19,4.56,,,0.1642
2021-08-23 00:00:00,600585,HOLDING_DECAY,200,33.85,8.79,,,0.0712
2021-08-23 00:00:00,601186,HOLDING_DECAY,1000,6.34,8.23,,,0.0016
2021-08-23 00:00:00,601669,HOLDING_DECAY,900,5.6,6.55,,,0.1359
