date,open,close,high,low,volume
2025-05-20,2041.5,2048.46,2059.52,2025.86,185317150.0
2025-05-21,2052.0,2065.39,2077.48,2050.21,175588279.0
2025-05-22,2065.41,2045.57,2065.41,2043.89,169780258.0
2025-05-23,2043.2,2021.5,2060.09,2021.5,178391659.0
2025-05-26,2016.37,2005.26,2023.49,1991.78,147787119.0
2025-05-27,2001.62,1991.64,2001.62,1983.9,150972274.0
2025-05-28,1996.49,1985.38,2001.95,1981.67,160736605.0
2025-05-29,1988.32,2012.55,2016.21,1986.63,196153778.0
2025-05-30,2002.73,1993.19,2004.5,1988.19,192070841.0
2025-06-03,1986.54,2002.7,2012.24,1985.57,185115747.0
2025-06-04,2009.37,2024.93,2030.92,2009.37,185041493.0
2025-06-05,2026.63,2048.61,2053.56,2014.44,208483808.0
2025-06-06,2047.87,2039.44,2051.91,2034.1,178108991.0
2025-06-09,2046.43,2061.29,2075.58,2045.64,202827466.0
2025-06-10,2057.97,2037.27,2063.87,2023.17,237687808.0
2025-06-11,2044.28,2061.87,2076.91,2044.28,208455831.0
2025-06-12,2057.2,2067.15,2076.84,2051.24,214021326.0
2025-06-13,2054.97,2043.82,2065.87,2036.96,241780969.0
2025-06-16,2038.7,2057.32,2062.42,2038.7,203702624.0
2025-06-17,2061.47,2049.94,2063.08,2045.05,216853533.0
2025-06-18,2046.69,2054.73,2059.38,2039.25,211304448.0
2025-06-19,2049.18,2026.82,2057.77,2021.18,221788483.0
2025-06-20,2026.88,2009.89,2036.02,2007.51,190308016.0
2025-06-23,1996.96,2017.63,2021.76,1996.96,200250341.0
2025-06-24,2024.7,2064.13,2065.84,2024.7,247840301.0
2025-06-25,2073.26,2128.39,2133.03,2072.87,267537197.0
2025-06-26,2128.86,2114.43,2142.21,2113.14,269411209.0
2025-06-27,2125.85,2124.34,2146.04,2112.75,242281223.0
2025-06-30,2132.93,2153.01,2154.0,2128.78,238472882.0
2025-07-01,2149.22,2147.92,2152.92,2134.57,248615116.0
2025-07-02,2140.14,2123.72,2140.14,2118.55,234278871.0
2025-07-03,2130.74,2164.09,2168.61,2130.74,219337576.0
2025-07-04,2168.35,2156.23,2187.88,2153.62,232294631.0
2025-07-07,2148.93,2130.19,2155.69,2126.32,188872554.0
2025-07-08,2129.49,2181.08,2183.06,2129.49,228272821.0
2025-07-09,2179.32,2184.67,2204.64,2179.11,233669091.0
2025-07-10,2192.99,2189.58,2199.71,2174.21,220559910.0
2025-07-11,2190.01,2207.1,2223.31,2181.19,238426461.0
2025-07-14,2207.54,2197.07,2208.08,2189.08,202146011.0
2025-07-15,2211.4,2235.05,2245.44,2209.9,224843887.0
2025-07-16,2241.21,2230.19,2259.64,2227.82,205109817.0
2025-07-17,2228.52,2269.33,2269.67,2228.52,213485493.0
2025-07-18,2279.67,2277.15,2296.91,2263.97,211967077.0
2025-07-21,2285.41,2296.88,2297.14,2273.81,225424052.0
2025-07-22,2295.36,2310.86,2313.46,2290.38,242464648.0
