date,open,close,high,low,volume
2025-05-20,3883.1,3898.17,3911.47,3881.74,104885234.0
2025-05-21,3899.44,3916.38,3928.63,3899.44,109791343.0
2025-05-22,3912.6,3913.87,3923.02,3903.09,107597052.0
2025-05-23,3910.37,3882.27,3931.55,3882.27,120277419.0
2025-05-26,3875.79,3860.11,3884.54,3849.04,109601207.0
2025-05-27,3857.63,3839.4,3865.43,3834.85,98572425.0
2025-05-28,3843.07,3836.24,3849.74,3833.96,89031026.0
2025-05-29,3838.01,3858.7,3869.79,3831.46,108471886.0
2025-05-30,3850.49,3840.23,3858.61,3829.25,111672228.0
2025-06-03,3833.46,3852.01,3863.3,3832.72,131403090.0
2025-06-04,3855.49,3868.74,3875.86,3855.49,116803873.0
2025-06-05,3872.64,3877.56,3883.13,3861.27,122878184.0
2025-06-06,3878.1,3873.98,3889.46,3869.39,110987971.0
2025-06-09,3877.8,3885.25,3894.65,3871.99,136306293.0
2025-06-10,3887.55,3865.47,3897.46,3850.47,145563859.0
2025-06-11,3870.67,3894.63,3911.61,3870.67,142414772.0
2025-06-12,3885.52,3892.2,3900.04,3870.38,133998697.0
2025-06-13,3881.49,3864.18,3889.16,3853.82,172539536.0
2025-06-16,3853.62,3873.8,3876.17,3853.62,137341835.0
2025-06-17,3875.18,3870.38,3880.42,3860.41,122342526.0
2025-06-18,3871.65,3874.97,3881.35,3854.66,127528621.0
2025-06-19,3870.05,3843.09,3872.94,3834.95,130280658.0
2025-06-20,3839.78,3846.64,3856.48,3839.78,118151020.0
2025-06-23,3831.17,3857.9,3867.59,3827.08,133800892.0
2025-06-24,3862.39,3904.03,3914.16,3862.39,163656188.0
2025-06-25,3907.07,3960.07,3963.04,3902.18,187213671.0
2025-06-26,3953.16,3946.02,3964.48,3945.26,165316263.0
2025-06-27,3949.79,3921.76,3969.26,3918.2,194557913.0
2025-06-30,3920.31,3936.08,3940.36,3911.6,145170236.0
2025-07-01,3935.91,3942.76,3946.25,3924.72,128959362.0
2025-07-02,3943.32,3943.68,3952.14,3929.7,147063062.0
2025-07-03,3949.4,3968.07,3971.62,3945.14,141004006.0
2025-07-04,3967.46,3982.2,4013.85,3958.38,157197133.0
2025-07-07,3977.29,3965.17,3979.75,3956.57,131135273.0
2025-07-08,3965.43,3998.45,4002.27,3965.43,156402895.0
2025-07-09,3997.5,3991.4,4016.74,3987.43,173293796.0
2025-07-10,3993.42,4010.02,4032.98,3992.52,209778904.0
2025-07-11,4011.47,4014.81,4065.94,4010.11,262052773.0
2025-07-14,4021.21,4017.67,4034.92,4017.67,207917175.0
2025-07-15,4023.99,4019.06,4042.66,3994.26,191042931.0
2025-07-16,4019.39,4007.2,4027.86,3993.92,151027308.0
2025-07-17,4005.07,4034.49,4034.59,4005.07,161249041.0
2025-07-18,4039.87,4058.55,4064.64,4039.32,186211063.0
2025-07-21,4069.77,4085.61,4086.12,4063.44,223268476.0
2025-07-22,4087.34,4118.96,4119.2,4068.34,257596985.0
2025-07-23,4129.15,4119.77,4155.68,4113.91,300506154.0
2025-07-24,4116.83,4149.04,4152.43,4111.88,319632392.0
2025-07-25,4145.32,4127.16,4150.5,4117.8,273594963.0
2025-07-28,4128.2,4135.82,4146.12,4112.97,222759815.0
2025-07-29,4132.68,4152.02,4153.33,4117.58,230807880.0
2025-07-30,4148.94,4151.24,4185.21,4127.43,249853048.0
2025-07-31,4141.56,4075.59,4141.82,4063.67,267087406.0
2025-08-01,4069.93,4054.93,4085.35,4040.46,196221826.0
2025-08-04,4037.94,4070.7,4070.7,4037.94,162275902.0
2025-08-05,4080.39,4103.45,4106.3,4075.58,178851999.0
2025-08-06,4100.43,4113.49,4116.71,4098.35,176676155.0
2025-08-07,4120.28,4114.67,4129.74,4094.82,198641902.0
2025-08-08,4109.27,4104.97,4122.21,4097.42,173171201.0
2025-08-11,4110.29,4122.51,4134.25,4103.6,190443716.0
2025-08-12,4123.58,4143.83,4153.29,4121.22,177287823.0
2025-08-13,4150.5,4176.58,4186.75,4147.2,213934999.0
2025-08-14,4179.97,4173.31,4220.31,4165.94,221103595.0
2025-08-15,4162.42,4202.35,4214.73,4157.5,261327566.0
2025-08-18,4218.25,4239.41,4272.96,4203.42,301479102.0
2025-08-19,4241.77,4223.37,4264.23,4215.21,250818771.0
2025-08-20,4208.4,4271.4,4272.15,4190.56,246481773.0
2025-08-21,4284.37,4288.07,4308.45,4273.65,259030014.0
2025-08-22,4287.36,4378.0,4378.39,4287.36,290434897.0
2025-08-25,4416.29,4469.22,4472.65,4404.78,358090006.0
2025-08-26,4453.35,4452.59,4476.8,4435.53,270621395.0
2025-08-27,4458.84,4386.13,4494.91,4386.13,333133898.0
2025-08-28,4378.04,4463.78,4464.8,4364.17,296834536.0
2025-08-29,4455.8,4496.76,4516.84,4452.36,351938947.0
2025-09-01,4516.88,4523.71,4528.13,4487.53,320366708.0
2025-09-02,4521.98,4490.45,4548.89,4454.42,303932566.0
2025-09-03,4501.34,4459.83,4510.73,4427.52,254320217.0
2025-09-04,4461.25,4365.21,4465.5,4327.51,307934609.0
2025-09-05,4365.61,4460.32,4466.56,4350.3,249625657.0
2025-09-08,4467.17,4467.57,4482.76,4438.07,267638382.0
2025-09-09,4448.74,4436.26,4472.09,4412.69,221375460.0
2025-09-10,4438.3,4445.36,4466.63,4414.59,203597646.0
2025-09-11,4438.84,4548.03,4548.03,4427.92,253264051.0
2025-09-12,4544.59,4522.0,4564.67,4517.79,266442003.0
2025-09-15,4534.89,4533.06,4566.91,4522.5,231885678.0
2025-09-16,4539.92,4523.34,4552.42,4494.79,249269206.0
2025-09-17,4517.29,4551.02,4556.03,4503.8,235716472.0
2025-09-18,4546.03,4498.11,4573.83,4454.99,309859826.0
2025-09-19,4499.09,4501.92,4533.09,4491.84,225044000.0
2025-09-22,4512.03,4522.61,4523.87,4487.13,196459956.0
2025-09-23,4536.76,4519.78,4560.73,4459.73,252827062.0
2025-09-24,4495.27,4566.07,4567.49,4494.11,220482608.0
2025-09-25,4563.98,4593.49,4613.95,4558.84,229823333.0
2025-09-26,4576.91,4550.05,4597.85,4550.05,208482114.0
2025-09-29,4555.03,4620.05,4647.57,4541.43,274358877.0
2025-09-30,4629.9,4640.69,4647.5,4616.22,247980359.0
2025-10-09,4662.11,4709.48,4726.34,4651.99,347678696.0
2025-10-10,4679.5,4616.83,4692.59,4600.96,319020899.0
2025-10-13,4490.87,4593.98,4601.81,4490.87,315010354.0
2025-10-14,4634.05,4539.06,4641.45,4520.93,372954030.0
2025-10-15,4544.24,4606.29,4608.82,4526.83,284771855.0
2025-10-16,4588.92,4618.42,4645.1,4586.28,248235518.0
2025-10-17,4610.7,4514.23,4618.56,4509.33,256905617.0
2025-10-20,4558.24,4538.22,4570.44,4520.5,218420405.0
2025-10-21,4556.12,4607.87,4615.46,4547.93,215711175.0
2025-10-22,4576.03,4592.57,4603.49,4567.24,185333960.0
2025-10-23,4578.7,4606.34,4611.34,4541.69,200463917.0
2025-10-24,4622.79,4660.68,4660.68,4622.79,208814483.0
2025-10-27,4699.38,4716.02,4720.43,4687.69,262200674.0
2025-10-28,4697.73,4691.97,4734.32,4679.23,220906645.0
2025-10-29,4701.04,4747.84,4747.84,4697.27,246211324.0
2025-10-30,4735.98,4709.91,4761.83,4706.45,273289118.0
2025-10-31,4702.49,4640.67,4706.14,4640.67,281464740.0
2025-11-03,4636.73,4653.4,4653.4,4595.73,239869809.0
2025-11-04,4649.35,4618.7,4665.32,4595.07,233224032.0
2025-11-05,4562.11,4627.26,4642.61,4558.76,203045871.0
2025-11-06,4642.01,4693.4,4698.09,4642.01,224241008.0
2025-11-07,4673.76,4678.79,4701.37,4666.04,212497377.0
2025-11-10,4688.12,4695.05,4695.18,4654.21,236026764.0
2025-11-11,4706.34,4652.17,4707.13,4648.49,186638858.0
2025-11-12,4643.56,4645.91,4669.61,4620.99,209460592.0
2025-11-13,4643.79,4702.07,4703.49,4643.79,207367474.0
2025-11-14,4663.32,4628.14,4684.26,4628.02,192092676.0
2025-11-17,4616.81,4598.05,4624.9,4580.26,188955466.0
2025-11-18,4584.79,4568.19,4606.62,4552.8,177713185.0
2025-11-19,4568.04,4588.29,4607.86,4568.04,172924974.0
