date,open,close,high,low,volume
2025-05-20,2710.39,2716.63,2729.76,2710.39,29309796.0
2025-05-21,2716.84,2728.43,2740.77,2716.84,31426341.0
2025-05-22,2725.45,2733.63,2738.24,2718.79,27835070.0
2025-05-23,2731.18,2711.85,2742.12,2711.85,33668536.0
2025-05-26,2708.22,2699.42,2719.7,2692.68,30713381.0
2025-05-27,2699.69,2685.28,2709.29,2684.71,27096687.0
2025-05-28,2686.73,2683.06,2691.48,2681.86,25171734.0
2025-05-29,2684.49,2690.89,2703.99,2677.81,27471836.0
2025-05-30,2688.96,2678.7,2696.14,2669.17,32151692.0
2025-06-03,2674.77,2687.3,2697.39,2671.34,33608484.0
2025-06-04,2688.74,2690.82,2699.67,2687.3,27603830.0
2025-06-05,2692.54,2692.13,2695.88,2682.54,30779056.0
2025-06-06,2691.63,2688.85,2700.81,2685.25,29849881.0
2025-06-09,2689.73,2686.83,2698.36,2681.69,35686891.0
2025-06-10,2690.87,2676.4,2700.18,2670.15,41460515.0
2025-06-11,2676.67,2692.14,2704.45,2676.67,35573426.0
2025-06-12,2689.68,2691.28,2696.78,2674.31,34480625.0
2025-06-13,2684.88,2676.43,2690.35,2669.11,47991048.0
2025-06-16,2666.82,2685.01,2687.11,2664.43,39935905.0
2025-06-17,2685.39,2683.95,2688.61,2672.68,33121607.0
2025-06-18,2685.47,2679.92,2690.9,2668.87,36667203.0
2025-06-19,2678.36,2665.52,2680.87,2658.49,37645030.0
2025-06-20,2661.21,2673.72,2681.53,2661.21,36316506.0
2025-06-23,2664.64,2684.78,2692.91,2656.68,42959546.0
2025-06-24,2685.85,2715.92,2731.18,2685.85,49028263.0
2025-06-25,2714.63,2747.73,2750.39,2707.4,50864894.0
2025-06-26,2740.23,2738.47,2747.61,2734.95,42840625.0
2025-06-27,2738.93,2707.57,2749.55,2705.78,57081832.0
2025-06-30,2702.12,2711.99,2716.3,2695.42,38305020.0
2025-07-01,2714.97,2717.71,2721.4,2708.19,33030057.0
2025-07-02,2720.85,2722.55,2729.71,2711.6,35177495.0
2025-07-03,2726.11,2724.55,2728.17,2713.97,32268510.0
2025-07-04,2722.18,2740.44,2761.92,2715.55,39311129.0
2025-07-07,2736.01,2731.53,2736.26,2723.96,29319003.0
2025-07-08,2732.05,2747.19,2750.46,2730.19,34080449.0
2025-07-09,2746.14,2739.92,2759.06,2739.21,47838115.0
2025-07-10,2739.23,2756.93,2777.42,2739.23,54142012.0
2025-07-11,2754.66,2756.77,2805.56,2754.66,76454518.0
2025-07-14,2761.48,2757.81,2774.23,2757.81,51490402.0
2025-07-15,2758.72,2747.23,2765.5,2731.32,41172447.0
2025-07-16,2748.17,2740.9,2754.06,2729.91,34245931.0
2025-07-17,2737.35,2744.26,2744.74,2732.35,36151094.0
2025-07-18,2746.33,2764.52,2768.9,2746.33,42130803.0
2025-07-21,2770.36,2772.24,2777.05,2763.35,49954337.0
2025-07-22,2773.4,2792.18,2795.49,2760.31,68310030.0
2025-07-23,2798.96,2801.2,2824.86,2794.81,67929831.0
2025-07-24,2797.26,2812.44,2819.13,2791.78,60282800.0
2025-07-25,2807.63,2795.51,2810.11,2788.19,51692557.0
2025-07-28,2799.26,2802.77,2811.24,2788.02,49737265.0
2025-07-29,2802.78,2808.59,2813.74,2795.6,47051664.0
2025-07-30,2809.44,2819.35,2842.47,2802.74,52185198.0
2025-07-31,2807.3,2775.99,2807.94,2766.93,61515847.0
2025-08-01,2771.76,2754.13,2780.16,2749.46,48962531.0
2025-08-04,2748.62,2769.39,2769.39,2748.62,41967961.0
2025-08-05,2773.38,2790.73,2794.6,2768.02,41264765.0
2025-08-06,2789.27,2797.42,2800.76,2787.54,41182917.0
2025-08-07,2797.71,2798.31,2808.92,2787.83,42338294.0
2025-08-08,2795.78,2789.17,2801.08,2784.38,38923878.0
2025-08-11,2791.35,2789.9,2800.89,2783.65,43484703.0
2025-08-12,2791.2,2807.01,2816.59,2791.2,42603267.0
2025-08-13,2809.05,2812.98,2828.86,2806.66,54720114.0
2025-08-14,2815.49,2829.47,2858.01,2815.49,50008770.0
2025-08-15,2821.97,2832.88,2847.61,2813.09,71117777.0
2025-08-18,2843.09,2838.87,2861.98,2832.46,73385466.0
2025-08-19,2843.28,2812.42,2858.41,2812.3,62843222.0
2025-08-20,2808.44,2846.99,2848.03,2799.4,58597343.0
2025-08-21,2853.79,2862.18,2872.96,2850.63,65309499.0
2025-08-22,2868.59,2928.61,2928.88,2868.59,67741563.0
2025-08-25,2950.65,2989.85,2989.85,2943.98,86358967.0
2025-08-26,2975.7,2969.78,2985.54,2964.21,54565823.0
2025-08-27,2974.41,2918.38,2983.02,2918.38,71005356.0
2025-08-28,2918.53,2960.73,2963.07,2906.65,65993248.0
2025-08-29,2954.93,2976.47,2989.0,2954.93,84761466.0
2025-09-01,2986.65,2981.2,2988.55,2965.45,72800163.0
2025-09-02,2983.72,2992.88,3006.46,2967.52,77445856.0
2025-09-03,2995.46,2960.99,3002.18,2939.81,63723571.0
2025-09-04,2949.97,2910.47,2949.97,2879.41,91920544.0
2025-09-05,2908.51,2942.22,2949.82,2899.69,62380387.0
2025-09-08,2940.98,2939.88,2953.91,2926.39,67340772.0
2025-09-09,2928.53,2928.63,2949.54,2915.04,55723378.0
2025-09-10,2928.11,2939.59,2954.44,2923.56,56404895.0
2025-09-11,2925.66,2983.08,2983.2,2917.81,68326502.0
2025-09-12,2986.02,2968.54,2998.98,2964.58,61709804.0
2025-09-15,2976.35,2962.62,2984.86,2957.72,52551778.0
2025-09-16,2969.23,2947.82,2974.95,2942.3,57639416.0
2025-09-17,2942.88,2952.78,2960.31,2935.78,56668537.0
2025-09-18,2959.39,2912.83,2971.56,2890.6,74860029.0
2025-09-19,2914.36,2909.74,2930.47,2906.17,57236551.0
2025-09-22,2911.02,2922.18,2929.52,2901.12,46979876.0
2025-09-23,2917.99,2919.51,2938.12,2891.78,62896875.0
2025-09-24,2908.07,2939.51,2942.59,2908.07,51462065.0
2025-09-25,2944.73,2952.74,2962.18,2941.87,54322268.0
2025-09-26,2941.17,2941.02,2962.75,2938.32,48141612.0
2025-09-29,2940.04,2973.04,3000.48,2922.01,70632299.0
2025-09-30,2985.1,2988.94,2992.54,2976.59,59065266.0
2025-10-09,3004.45,3020.6,3030.72,2984.83,76369809.0
2025-10-10,3000.56,2974.85,3012.59,2966.58,67283722.0
2025-10-13,2917.88,2967.21,2972.19,2917.88,70163467.0
2025-10-14,2986.58,2961.1,2996.68,2949.91,86183399.0
2025-10-15,2962.75,3001.35,3003.0,2958.45,63376996.0
2025-10-16,2994.22,3019.2,3028.57,2992.55,63410921.0
2025-10-17,3017.43,2967.77,3022.81,2963.94,62678056.0
2025-10-20,2984.31,2974.86,2995.02,2967.69,53180976.0
2025-10-21,2983.28,3007.26,3014.1,2979.12,55301752.0
2025-10-22,2987.35,3010.1,3015.17,2987.35,51417563.0
2025-10-23,3002.0,3026.9,3030.8,2985.43,60206654.0
2025-10-24,3031.92,3045.82,3052.82,3028.38,55120382.0
2025-10-27,3064.38,3069.53,3078.78,3052.4,70405039.0
2025-10-28,3059.88,3050.42,3075.25,3044.56,54626241.0
2025-10-29,3049.45,3063.02,3064.56,3048.59,60144586.0
2025-10-30,3053.79,3046.61,3076.87,3043.57,65736103.0
2025-10-31,3046.18,3011.55,3046.24,3011.55,69318922.0
2025-11-03,3009.16,3016.35,3017.45,2990.28,54900375.0
2025-11-04,3014.83,3012.97,3029.92,2999.25,55980900.0
2025-11-05,2985.76,3007.97,3018.35,2981.82,46871754.0
2025-11-06,3015.35,3044.74,3049.49,3012.44,50629447.0
2025-11-07,3036.01,3038.35,3050.01,3034.72,47669347.0
2025-11-10,3043.51,3053.86,3054.55,3030.23,49079644.0
2025-11-11,3059.76,3034.63,3060.28,3023.92,41042551.0
2025-11-12,3035.03,3044.3,3059.95,3035.03,57517235.0
2025-11-13,3044.92,3073.67,3075.21,3044.92,54126408.0
2025-11-14,3058.12,3038.43,3073.71,3037.88,48802756.0
2025-11-17,3033.02,3012.07,3037.23,3001.2,48233902.0
2025-11-18,3005.74,3003.02,3023.03,2995.17,43587327.0
2025-11-19,3004.65,3020.35,3033.22,3004.2,48200355.0
2025-11-20,3030.04,3008.29,3038.91,3004.24,54043554.0
2025-11-21,2989.87,2955.85,2998.81,2953.46,60393126.0
2025-11-24,2967.16,2950.56,2970.2,2942.29,50801706.0
2025-11-25,2963.69,2968.2,2974.77,2952.35,42405177.0
2025-11-26,2969.78,2971.8,2979.98,2968.02,40057977.0
2025-11-27,2976.08,2972.27,2988.2,2965.55,39287797.0
2025-11-28,2969.23,2969.62,2973.32,2954.71,37274314.0
2025-12-01,2975.27,2993.68,2994.45,2972.79,46519461.0
2025-12-02,2992.38,2978.47,2994.71,2970.95,33481828.0
2025-12-03,2976.11,2963.08,2983.61,2957.79,38519732.0
2025-12-04,2968.56,2974.34,2980.24,2958.61,36282556.0
2025-12-05,2970.62,3002.01,3010.72,2969.09,44603491.0
2025-12-08,3006.63,3019.36,3030.57,3005.38,44895792.0
2025-12-09,3012.24,2997.96,3015.45,2991.65,43425923.0
2025-12-10,2994.15,2988.64,2996.21,2970.59,41511589.0
2025-12-11,2995.63,2977.03,2998.98,2966.18,39399027.0
2025-12-12,2981.97,2994.64,2994.87,2965.69,57188912.0
2025-12-15,2979.76,2987.07,3015.39,2978.13,38490227.0
2025-12-16,2980.94,2954.79,2986.08,2946.6,38302165.0
2025-12-17,2955.47,2991.68,3005.87,2948.74,38500743.0
2025-12-18,2983.77,2998.52,3002.02,2980.95,32545683.0
2025-12-19,2993.93,3004.34,3016.38,2987.71,36605533.0
2025-12-22,3010.8,3020.23,3025.55,3010.8,34728192.0
2025-12-23,3023.91,3027.52,3041.67,3019.61,35889709.0
2025-12-24,3028.37,3025.18,3032.01,3012.2,31799441.0
2025-12-25,3020.91,3032.84,3039.54,3018.58,28270647.0
2025-12-26,3032.47,3045.4,3057.95,3031.26,34100689.0
2025-12-29,3048.98,3034.63,3057.36,3030.38,43153415.0
2025-12-30,3023.32,3036.55,3049.32,3022.28,38538285.0
2025-12-31,3038.6,3031.13,3051.43,3026.49,37358980.0
2026-01-05,3052.13,3099.75,3105.4,3052.13,53501398.0
2026-01-06,3106.52,3158.76,3158.76,3106.09,57494272.0
2026-01-07,3162.02,3145.12,3162.44,3132.23,52139422.0
2026-01-08,3137.81,3122.06,3142.85,3107.02,53427374.0
2026-01-09,3121.16,3134.32,3146.73,3112.46,60149277.0
2026-01-12,3146.51,3143.74,3148.11,3125.17,64461913.0
2026-01-13,3150.73,3132.93,3177.74,3123.17,63160096.0
2026-01-14,3136.84,3112.07,3169.75,3106.13,71957426.0
2026-01-15,3104.33,3105.58,3130.99,3097.11,54417665.0
2026-01-16,3117.93,3079.76,3127.85,3066.09,72454154.0
2026-01-19,3077.81,3075.94,3094.97,3065.94,55866599.0
2026-01-20,3077.94,3070.65,3090.09,3058.61,60002533.0
2026-01-21,3073.77,3067.18,3097.66,3060.65,65664880.0
2026-01-22,3080.2,3053.13,3089.67,3046.43,62918454.0
2026-01-23,3055.69,3032.19,3063.26,3019.76,69020151.0
2026-01-26,3042.37,3049.59,3088.57,3039.64,89102472.0
2026-01-27,3054.4,3052.39,3080.82,3046.19,75135914.0
2026-01-28,3066.43,3060.56,3074.98,3047.79,96366780.0
2026-01-29,3074.49,3110.91,3122.14,3048.41,100710154.0
2026-01-30,3088.79,3066.5,3106.33,3040.42,79014687.0
2026-02-02,3036.84,3003.14,3076.02,2997.85,80803317.0
2026-02-03,3033.47,3034.58,3037.0,2987.41,64830347.0
2026-02-04,3033.55,3069.24,3070.17,3030.34,61043659.0
2026-02-05,3048.87,3059.01,3066.51,3030.85,53716009.0
2026-02-06,3027.17,3037.86,3056.0,3015.63,46789818.0
2026-02-09,3066.32,3081.78,3081.87,3059.03,41923930.0
2026-02-10,3086.33,3087.41,3091.35,3080.0,38162332.0
2026-02-11,3082.7,3088.46,3094.25,3076.55,36847609.0
2026-02-12,3091.53,3079.73,3094.33,3075.76,44400996.0
2026-02-13,3062.21,3034.35,3066.04,3032.66,45953549.0
2026-02-24,3075.47,3041.32,3075.9,3039.41,43898842.0
2026-02-25,3045.45,3054.92,3080.08,3041.59,56685897.0
2026-02-26,3059.6,3035.07,3060.34,3023.43,43952257.0
2026-02-27,3026.08,3039.43,3049.36,3025.72,43909783.0
2026-03-02,3031.45,3046.47,3050.92,3010.05,83545593.0
2026-03-03,3045.75,3014.27,3056.99,3008.0,104832996.0
2026-03-04,2985.63,2974.21,2991.03,2953.32,86833095.0
2026-03-05,2993.59,2988.45,3001.02,2978.09,63797904.0
2026-03-06,2972.59,2992.7,2999.72,2970.58,50536462.0
2026-03-09,2963.2,2962.99,2970.95,2933.92,78658126.0
2026-03-10,2973.82,2981.84,2985.31,2969.91,54226915.0
2026-03-11,2983.46,2985.34,2988.75,2970.83,56031984.0
2026-03-12,2978.12,2971.56,2985.55,2954.3,55644111.0
2026-03-13,2961.73,2956.85,2977.84,2951.7,68633013.0
2026-03-16,2952.42,2954.09,2955.0,2927.94,59596018.0
2026-03-17,2957.01,2963.58,2995.23,2956.16,62604978.0
2026-03-18,2965.86,2961.43,2970.19,2939.75,54413790.0
2026-03-19,2933.58,2916.23,2942.46,2908.44,67079441.0
2026-03-20,2914.85,2883.86,2924.38,2881.95,66097073.0
2026-03-23,2847.52,2792.33,2847.78,2779.6,86976633.0
2026-03-24,2813.5,2830.85,2831.27,2790.8,63312736.0
2026-03-25,2845.41,2859.53,2862.57,2842.19,63965550.0
2026-03-26,2854.5,2824.67,2862.33,2819.07,52322127.0
2026-03-27,2803.5,2837.31,2845.83,2803.5,46525441.0
2026-03-30,2814.83,2833.21,2835.83,2806.03,49112625.0
2026-03-31,2844.41,2826.12,2865.52,2826.12,57096016.0
2026-04-01,2863.49,2878.79,2882.67,2856.97,50695580.0
2026-04-02,2873.83,2853.45,2873.83,2840.64,46918994.0
2026-04-03,2856.56,2830.6,2857.51,2827.09,36331378.0
2026-04-07,2830.13,2830.52,2843.17,2824.18,36809593.0
2026-04-08,2872.03,2907.07,2907.79,2872.03,58736612.0
