date,open,close,high,low,volume
2025-05-20,10182.25,10249.17,10273.59,10151.86,599353146.0
2025-05-21,10246.52,10294.22,10325.92,10243.18,579532397.0
2025-05-22,10274.68,10219.62,10283.29,10214.5,557473920.0
2025-05-23,10210.62,10132.41,10294.57,10132.41,562096510.0
2025-05-26,10114.69,10091.16,10142.94,10044.08,484518140.0
2025-05-27,10074.03,10029.11,10076.88,9996.83,498056374.0
2025-05-28,10039.25,10003.27,10058.13,9987.41,535691921.0
2025-05-29,10006.43,10127.2,10139.18,10002.09,612671249.0
2025-05-30,10091.19,10040.63,10099.15,10022.81,596050824.0
2025-06-03,10006.13,10057.17,10088.19,10004.94,560674156.0
2025-06-04,10070.85,10144.58,10158.02,10070.85,588080192.0
2025-06-05,10152.55,10203.5,10220.3,10113.05,629553207.0
2025-06-06,10205.52,10183.7,10223.56,10166.7,562977358.0
2025-06-09,10200.45,10250.14,10280.83,10190.25,615263021.0
2025-06-10,10248.29,10162.18,10256.85,10095.01,711190772.0
2025-06-11,10176.5,10246.02,10295.4,10176.5,615814143.0
2025-06-12,10208.3,10234.33,10263.46,10182.41,605519275.0
2025-06-13,10193.93,10122.11,10215.54,10089.59,698026044.0
2025-06-16,10096.57,10163.55,10173.06,10096.57,568501403.0
2025-06-17,10177.67,10151.43,10198.98,10129.41,596927009.0
2025-06-18,10142.58,10175.59,10190.04,10118.68,587501533.0
2025-06-19,10156.17,10051.97,10181.97,10027.33,610114879.0
2025-06-20,10039.0,10005.03,10084.1,9998.5,514811215.0
2025-06-23,9950.14,10048.39,10064.75,9950.14,537795225.0
2025-06-24,10074.27,10217.63,10224.12,10074.27,666588581.0
2025-06-25,10240.13,10393.72,10403.51,10233.15,720493535.0
2025-06-26,10389.23,10343.48,10440.73,10340.69,721001585.0
2025-06-27,10371.81,10378.55,10455.51,10343.3,698391693.0
2025-06-30,10405.96,10465.12,10470.24,10399.92,675662995.0
2025-07-01,10458.39,10476.29,10483.33,10407.17,695078613.0
2025-07-02,10455.83,10412.63,10455.83,10386.49,678272985.0
2025-07-03,10431.03,10534.58,10546.74,10431.03,638445112.0
2025-07-04,10534.99,10508.76,10610.5,10480.72,667051160.0
2025-07-07,10488.11,10435.51,10501.31,10426.55,578492942.0
2025-07-08,10431.78,10588.39,10593.84,10431.78,665860083.0
2025-07-09,10592.51,10581.8,10656.58,10557.81,702950075.0
2025-07-10,10593.7,10631.13,10667.41,10562.16,701359248.0
2025-07-11,10637.45,10696.1,10757.24,10610.8,742645890.0
2025-07-14,10705.44,10684.52,10715.07,10663.87,646463331.0
2025-07-15,10700.37,10744.56,10784.97,10651.15,725709818.0
2025-07-16,10749.71,10720.81,10804.18,10697.4,616594267.0
2025-07-17,10718.85,10873.62,10873.62,10718.85,635545177.0
2025-07-18,10902.72,10913.84,10946.4,10865.89,644428695.0
2025-07-21,10937.6,11007.49,11008.48,10922.52,732596840.0
2025-07-22,11004.01,11099.83,11099.83,10970.22,786153137.0
2025-07-23,11101.32,11059.04,11158.22,11042.2,772954593.0
2025-07-24,11069.6,11193.06,11193.06,11069.6,742250097.0
2025-07-25,11196.2,11168.14,11210.91,11139.32,724401445.0
2025-07-28,11176.39,11217.58,11226.18,11114.93,684039262.0
2025-07-29,11199.63,11289.41,11289.42,11136.28,687782458.0
2025-07-30,11262.98,11203.03,11307.62,11127.0,713948130.0
2025-07-31,11208.46,11009.77,11223.64,10976.21,741311343.0
2025-08-01,11001.25,10991.32,11068.31,10919.89,624304840.0
2025-08-04,10932.62,11041.56,11041.56,10928.49,588265628.0
2025-08-05,11078.58,11106.96,11106.96,11041.47,637905912.0
2025-08-06,11091.83,11177.78,11177.88,11086.72,695936984.0
2025-08-07,11189.49,11157.94,11229.59,11089.58,711415718.0
2025-08-08,11136.34,11128.67,11184.55,11108.46,681934695.0
2025-08-11,11159.03,11291.43,11311.88,11159.03,713852946.0
