code,name,board,industry
600085,同仁堂,上海证券交易所,医药生物
63,中兴通讯,深圳证券交易所,通信
603993,洛阳钼业,上海证券交易所,有色金属
603156,养元饮品,上海证券交易所,食品饮料
2920,德赛西威,深圳证券交易所,汽车
785,居然智家,深圳证券交易所,商贸零售
738,航发控制,深圳证券交易所,国防军工
688248,南网科技,上海证券交易所,电力设备
600967,内蒙一机,上海证券交易所,国防军工
2049,紫光国微,深圳证券交易所,电子
2244,滨江集团,深圳证券交易所,房地产
600118,中国卫星,上海证券交易所,国防军工
600038,中直股份,上海证券交易所,国防军工
688019,安集科技,上海证券交易所,电子
429,粤高速A,深圳证券交易所,交通运输
601169,北京银行,上海证券交易所,银行
601857,中国石油,上海证券交易所,石油石化
600795,国电电力,上海证券交易所,公用事业
688363,华熙生物,上海证券交易所,美容护理
600566,济川药业,上海证券交易所,医药生物
600887,伊利股份,上海证券交易所,食品饮料
2966,苏州银行,深圳证券交易所,银行
688295,中复神鹰,上海证券交易所,基础化工
600153,建发股份,上海证券交易所,交通运输
2130,沃尔核材,深圳证券交易所,电子
601880,辽港股份,上海证券交易所,交通运输
688582,芯动联科,上海证券交易所,电子
831,中国稀土,深圳证券交易所,有色金属
600016,民生银行,上海证券交易所,银行
300223,北京君正,深圳证券交易所,电子
601628,中国人寿,上海证券交易所,非银金融
1286,陕西能源,深圳证券交易所,公用事业
603338,浙江鼎力,上海证券交易所,机械设备
601799,星宇股份,上海证券交易所,汽车
688271,联影医疗,上海证券交易所,医药生物
600221,海航控股,上海证券交易所,交通运输
601398,工商银行,上海证券交易所,银行
600863,华能蒙电,上海证券交易所,公用事业
600588,用友网络,上海证券交易所,计算机
887,中鼎股份,深圳证券交易所,汽车
921,海信家电,深圳证券交易所,家用电器
600177,雅戈尔,上海证券交易所,
2312,川发龙蟒,深圳证券交易所,基础化工
2142,宁波银行,深圳证券交易所,银行
600141,兴发集团,上海证券交易所,基础化工
600600,青岛啤酒,上海证券交易所,食品饮料
601319,中国人保,上海证券交易所,非银金融
2371,北方华创,深圳证券交易所,电子
301536,星宸科技,深圳证券交易所,电子
300474,景嘉微,深圳证券交易所,国防军工
688981,中芯国际,上海证券交易所,电子
600486,扬农化工,上海证券交易所,基础化工
2266,浙富控股,深圳证券交易所,环保
688375,国博电子,上海证券交易所,国防军工
519,中兵红箭,深圳证券交易所,国防军工
683,博源化工,深圳证券交易所,基础化工
2850,科达利,深圳证券交易所,电力设备
601225,陕西煤业,上海证券交易所,煤炭
300957,贝泰妮,深圳证券交易所,美容护理
301526,国际复材,深圳证券交易所,建筑材料
2670,国盛证券,深圳证券交易所,非银金融
2074,国轩高科,深圳证券交易所,电力设备
600095,湘财股份,上海证券交易所,非银金融
2414,高德红外,深圳证券交易所,国防军工
2508,老板电器,深圳证券交易所,家用电器
603019,中科曙光,上海证券交易所,计算机
2608,江苏国信,深圳证券交易所,公用事业
600061,国投资本,上海证券交易所,非银金融
2461,珠江啤酒,深圳证券交易所,食品饮料
601077,渝农商行,上海证券交易所,银行
300496,中科创达,深圳证券交易所,计算机
301,东方盛虹,深圳证券交易所,石油石化
600143,金发科技,上海证券交易所,基础化工
300014,亿纬锂能,深圳证券交易所,电力设备
600369,西南证券,上海证券交易所,非银金融
2025,航天电器,深圳证券交易所,国防军工
603119,浙江荣泰,上海证券交易所,汽车
600704,物产中大,上海证券交易所,交通运输
688052,纳芯微,上海证券交易所,电子
600048,保利发展,上海证券交易所,房地产
300748,金力永磁,深圳证券交易所,有色金属
601869,长飞光纤,上海证券交易所,通信
688387,信科移动,上海证券交易所,通信
967,盈峰环境,深圳证券交易所,环保
600578,京能电力,上海证券交易所,公用事业
600026,中远海能,上海证券交易所,交通运输
600292,电投水电,上海证券交易所,环保
603659,璞泰来,上海证券交易所,电力设备
601021,春秋航空,上海证券交易所,交通运输
600808,马钢股份,上海证券交易所,钢铁
300450,先导智能,深圳证券交易所,电力设备
600131,国网信通,上海证券交易所,计算机
600208,衢州发展,上海证券交易所,房地产
688617,惠泰医疗,上海证券交易所,医药生物
2152,广电运通,深圳证券交易所,计算机
688017,绿的谐波,上海证券交易所,机械设备
600875,东方电气,上海证券交易所,电力设备
688778,厦钨新能,上海证券交易所,电力设备
603786,科博达,上海证券交易所,汽车
688122,西部超导,上海证券交易所,国防军工
601099,太平洋,上海证券交易所,非银金融
601699,潞安环能,上海证券交易所,煤炭
601901,方正证券,上海证券交易所,非银金融
600918,中泰证券,上海证券交易所,非银金融
601456,国联民生,上海证券交易所,非银金融
600004,白云机场,上海证券交易所,交通运输
600522,中天科技,上海证券交易所,通信
2739,儒意电影,深圳证券交易所,传媒
601229,上海银行,上海证券交易所,银行
300999,金龙鱼,深圳证券交易所,农林牧渔
157,中联重科,深圳证券交易所,机械设备
603737,三棵树,上海证券交易所,建筑材料
959,首钢股份,上海证券交易所,钢铁
600018,上港集团,上海证券交易所,交通运输
601877,正泰电器,上海证券交易所,电力设备
300661,圣邦股份,上海证券交易所,电子
688475,萤石网络,上海证券交易所,计算机
688343,云天励飞,上海证券交易所,计算机
600906,财达证券,上海证券交易所,非银金融
600970,中材国际,上海证券交易所,建筑装饰
601155,新城控股,上海证券交易所,房地产
688183,生益电子,上海证券交易所,电子
600460,士兰微,上海证券交易所,电子
300953,震裕科技,深圳证券交易所,电力设备
688709,成都华微,上海证券交易所,电子
1386,马可波罗,深圳证券交易所,轻工制造
600598,北大荒,上海证券交易所,农林牧渔
600517,国网英大,上海证券交易所,非银金融
600602,云赛智联,上海证券交易所,计算机
300339,润和软件,上海证券交易所,计算机
600763,通策医疗,上海证券交易所,医药生物
601808,中海油服,上海证券交易所,石油石化
689009,九号公司,上海证券交易所,汽车
960,锡业股份,深圳证券交易所,有色金属
2120,韵达股份,深圳证券交易所,交通运输
2493,荣盛石化,深圳证券交易所,石油石化
603049,中策橡胶,上海证券交易所,汽车
600031,三一重工,上海证券交易所,机械设备
300454,深信服,深圳证券交易所,计算机
300024,机器人,深圳证券交易所,机械设备
415,渤海租赁,深圳证券交易所,非银金融
2601,龙佰集团,深圳证券交易所,基础化工
300724,捷佳伟创,深圳证券交易所,电力设备
598,兴蓉环境,深圳证券交易所,环保
600282,南钢股份,上海证券交易所,钢铁
600879,航天电子,上海证券交易所,国防军工
601939,建设银行,上海证券交易所,银行
688336,三生国健,上海证券交易所,医药生物
688126,沪硅产业,上海证券交易所,电子
601658,邮储银行,上海证券交易所,银行
600741,华域汽车,上海证券交易所,汽车
688692,达梦数据,上海证券交易所,计算机
300058,蓝色光标,深圳证券交易所,传媒
601016,节能风电,上海证券交易所,公用事业
601689,拓普集团,上海证券交易所,汽车
1309,德明利,深圳证券交易所,电子
600398,海澜之家,上海证券交易所,
300432,富临精工,深圳证券交易所,电力设备
2436,兴森科技,深圳证券交易所,电子
601865,福莱特,上海证券交易所,电力设备
300002,神州泰岳,深圳证券交易所,传媒
