factor,holding,IC_mean,IR,n,pass
a14_mom5d,3,-0.026332,-0.1365,1465,fail
a14_mom5d,5,-0.021774,-0.1165,1463,fail
a14_mom5d,10,-0.017472,-0.0925,1458,fail
a18_close5d,3,-0.026332,-0.1365,1465,fail
a18_close5d,5,-0.021774,-0.1165,1463,fail
a18_close5d,10,-0.017472,-0.0925,1458,fail
a20_mom6d,3,-0.025199,-0.1314,1464,fail
a20_mom6d,5,-0.02172,-0.1143,1462,fail
a20_mom6d,10,-0.018036,-0.0953,1457,fail
a31_ma12dev,3,-0.025674,-0.1303,1465,fail
a31_ma12dev,5,-0.023494,-0.121,1463,fail
a31_ma12dev,10,-0.018609,-0.0962,1458,fail
a34_invma12,3,0.025674,0.1303,1465,fail
a34_invma12,5,0.023494,0.121,1463,fail
a34_invma12,10,0.018609,0.0962,1458,fail
a46_4ma_avg,3,0.026944,0.1344,1459,fail
a46_4ma_avg,5,0.024969,0.1271,1457,fail
a46_4ma_avg,10,0.019949,0.1022,1452,fail
a65_ma6,3,0.022817,0.1191,1468,fail
a65_ma6,5,0.021122,0.1137,1466,fail
a65_ma6,10,0.01517,0.0811,1461,fail
a71_ma24dev,3,-0.026056,-0.1271,1459,fail
a71_ma24dev,5,-0.024525,-0.1217,1457,fail
a71_ma24dev,10,-0.02098,-0.1054,1452,fail
a47_williams,3,0.014749,0.0851,1468,fail
a47_williams,5,0.010141,0.0596,1466,fail
a47_williams,10,0.004966,0.0292,1461,fail
a57_stoch99,3,-0.013442,-0.076,1467,fail
a57_stoch99,5,-0.010409,-0.0596,1465,fail
a57_stoch99,10,-0.005285,-0.0303,1460,fail
a2_cdlspread,3,0.003885,0.0454,1469,fail
a2_cdlspread,5,0.004291,0.0503,1467,fail
a2_cdlspread,10,0.004421,0.0522,1462,fail
a63_rsi6,3,-0.018839,-0.108,1467,fail
a63_rsi6,5,-0.014171,-0.0819,1465,fail
a63_rsi6,10,-0.010029,-0.0583,1460,fail
a67_rsi24,3,-0.016441,-0.0833,1458,fail
a67_rsi24,5,-0.01647,-0.0855,1456,fail
a67_rsi24,10,-0.016525,-0.0883,1451,fail
a79_rsi12,3,-0.017563,-0.0967,1464,fail
a79_rsi12,5,-0.016088,-0.0899,1462,fail
a79_rsi12,10,-0.010252,-0.0571,1457,fail
a80_volchg5,3,-0.017218,-0.1292,1465,fail
a80_volchg5,5,-0.013378,-0.1037,1463,fail
a80_volchg5,10,-0.007672,-0.0606,1458,fail
