factor,IC,IR,IC_std,pos_pct,N,period
mom_5,0.011853,0.055,0.215465,0.521,1539,5d
mom_10,0.017151,0.0838,0.204572,0.523,1534,5d
mom_20,0.02126,0.105,0.202408,0.548,1524,5d
mom_60,0.009171,0.0473,0.194071,0.516,1484,5d
mom_120,0.002675,0.0148,0.181139,0.516,1424,5d
rev_3,-0.012667,-0.0564,0.224765,0.465,1541,5d
rev_5,-0.011853,-0.055,0.215465,0.479,1539,5d
rev_10,-0.017151,-0.0838,0.204572,0.477,1534,5d
vol_10,0.013097,0.0469,0.279517,0.529,1536,5d
vol_20,0.014781,0.0535,0.276095,0.522,1526,5d
vol_60,0.025411,0.0941,0.270072,0.525,1487,5d
vol_change,0.003854,0.0341,0.112905,0.52,1487,5d
vol_ratio_5,-0.002981,-0.0323,0.092194,0.486,1542,5d
vol_ratio_20,0.000601,0.0058,0.104169,0.492,1527,5d
amount_ratio,0.001772,0.0145,0.122123,0.502,1527,5d
rsi_6,0.00641,0.047,0.136345,0.532,1540,5d
rsi_14,0.007513,0.0516,0.145646,0.538,1532,5d
boll_pos_10,0.003855,0.0283,0.135988,0.523,1537,5d
boll_pos_20,0.006315,0.0446,0.141646,0.528,1527,5d
high_low_range,0.033457,0.1046,0.319827,0.528,1546,5d
mom_5,0.018099,0.0877,0.20647,0.535,1534,10d
mom_10,0.020651,0.1031,0.200385,0.548,1529,10d
mom_20,0.020703,0.1029,0.201236,0.56,1519,10d
mom_60,0.010599,0.0576,0.184056,0.531,1479,10d
mom_120,-0.001056,-0.0061,0.172451,0.549,1419,10d
rev_3,-0.017391,-0.0793,0.219308,0.461,1536,10d
rev_5,-0.018099,-0.0877,0.20647,0.465,1534,10d
rev_10,-0.020651,-0.1031,0.200385,0.452,1529,10d
vol_10,0.015191,0.0562,0.270462,0.54,1531,10d
vol_20,0.019047,0.0694,0.274488,0.523,1521,10d
vol_60,0.031033,0.114,0.272201,0.546,1482,10d
vol_change,0.001798,0.0163,0.110367,0.522,1482,10d
vol_ratio_5,0.001321,0.0148,0.088979,0.491,1537,10d
vol_ratio_20,0.005812,0.0595,0.097754,0.521,1522,10d
amount_ratio,0.005736,0.0489,0.11739,0.519,1522,10d
rsi_6,0.009019,0.0678,0.133083,0.551,1535,10d
rsi_14,0.012573,0.0886,0.141853,0.566,1527,10d
boll_pos_10,0.007575,0.0574,0.13208,0.535,1532,10d
boll_pos_20,0.009701,0.0706,0.137352,0.56,1522,10d
high_low_range,0.053111,0.1696,0.313077,0.568,1541,10d
mom_5,0.02209,0.1085,0.203646,0.542,1524,20d
mom_10,0.02263,0.1114,0.203053,0.542,1519,20d
mom_20,0.020329,0.0991,0.205182,0.528,1509,20d
mom_60,0.009265,0.0532,0.174141,0.52,1469,20d
mom_120,-0.001756,-0.0104,0.168483,0.53,1409,20d
rev_3,-0.016938,-0.0791,0.214251,0.453,1526,20d
rev_5,-0.02209,-0.1085,0.203646,0.458,1524,20d
rev_10,-0.02263,-0.1114,0.203053,0.458,1519,20d
vol_10,0.026379,0.0977,0.269944,0.527,1521,20d
vol_20,0.035779,0.1265,0.282793,0.537,1511,20d
vol_60,0.049332,0.1765,0.279464,0.551,1472,20d
vol_change,1.5e-05,0.0001,0.110925,0.486,1472,20d
vol_ratio_5,0.002951,0.0344,0.085878,0.509,1527,20d
vol_ratio_20,0.006384,0.0707,0.090329,0.531,1512,20d
amount_ratio,0.006789,0.062,0.109522,0.524,1512,20d
rsi_6,0.012709,0.0976,0.130178,0.565,1525,20d
rsi_14,0.009679,0.0717,0.134994,0.562,1517,20d
boll_pos_10,0.009566,0.0743,0.128724,0.562,1522,20d
boll_pos_20,0.007581,0.0579,0.130861,0.548,1512,20d
high_low_range,0.069955,0.2304,0.303613,0.572,1531,20d
