date,code,action,shares,price,cost,commission,reason,pnl
2020-12-03 00:00:00,601399,BUY,4900,4.06,19913.893999999997,5.9741681999999985,AUTO,
2021-07-20 00:00:00,601399,STOP_LOSS,4900,3.19,20.3,,,-0.2143
2021-08-02 00:00:00,601399,BUY,5500,3.51,19324.304999999997,5.797291499999998,AUTO,
2023-09-20 00:00:00,601059,BUY,1100,16.823,18523.8053,5.55714159,AUTO,
2023-09-20 00:00:00,601198,BUY,2400,7.948,19094.2752,5.728282559999999,AUTO,
2023-09-20 00:00:00,601995,BUY,500,37.25,18643.624999999996,5.593087499999998,AUTO,
2023-10-26 00:00:00,601399,SELL,5500,2.96,21.14,,,-0.1567
2023-10-26 00:00:00,601059,SELL,1100,16.823,24.03,,,0.0
2023-10-26 00:00:00,601198,SELL,2400,7.658,23.87,,,-0.0365
2023-10-26 00:00:00,603920,BUY,1000,15.06,15075.06,4.522518,AUTO,
2023-10-26 00:00:00,002602,BUY,2900,5.44,15791.775999999998,4.737532799999999,AUTO,
2023-10-26 00:00:00,601456,BUY,1400,10.972,15376.160799999998,4.612848239999999,AUTO,
2023-10-26 00:00:00,000408,BUY,800,18.431,14759.5448,4.427863439999999,AUTO,
2023-10-26 00:00:00,600095,BUY,1900,8.185,15567.0515,4.670115449999999,AUTO,
2023-10-26 00:00:00,002736,BUY,1700,8.99,15298.283,4.5894848999999995,AUTO,
2023-10-26 00:00:00,600988,BUY,1100,13.991,15405.490099999999,4.621647029999999,AUTO,
2023-10-26 00:00:00,002131,BUY,7800,2.028,15834.218399999998,4.750265519999999,AUTO,
2023-10-26 00:00:00,600535,BUY,1200,12.41,14906.892,4.4720676,AUTO,
2023-10-26 00:00:00,002064,BUY,2400,6.46,15519.503999999999,4.655851199999999,AUTO,
2023-10-26 00:00:00,601555,BUY,2000,7.722,15459.444,4.637833199999999,AUTO,
2023-11-23 00:00:00,601995,SELL,500,40.96,26.6,,,0.0996
2023-11-23 00:00:00,603920,SELL,1000,16.36,21.25,,,0.0863
2023-11-23 00:00:00,002602,SELL,2900,5.73,21.58,,,0.0533
2023-11-23 00:00:00,601456,SELL,1400,11.502,20.91,,,0.0483
2023-11-23 00:00:00,000408,SELL,800,20.861,21.67,,,0.1318
2023-11-23 00:00:00,600095,SELL,1900,8.015,19.78,,,-0.0208
2023-11-23 00:00:00,002736,SELL,1700,9.13,20.16,,,0.0156
2023-11-23 00:00:00,600988,SELL,1100,13.061,18.66,,,-0.0665
2023-11-23 00:00:00,002131,SELL,7800,2.298,23.28,,,0.1331
2023-11-23 00:00:00,600535,SELL,1200,14.11,21.99,,,0.137
2023-11-23 00:00:00,002064,SELL,2400,6.57,20.48,,,0.017
2023-11-23 00:00:00,601555,SELL,2000,7.272,18.89,,,-0.0583
2023-11-23 00:00:00,300857,BUY,700,23.479,16451.735299999997,4.9355205899999985,AUTO,
2023-11-23 00:00:00,000027,BUY,2800,5.93,16620.603999999996,4.986181199999998,AUTO,
2023-11-23 00:00:00,600704,BUY,4000,4.151,16620.603999999996,4.986181199999998,AUTO,
2023-11-23 00:00:00,000039,BUY,2200,7.524,16569.352799999997,4.970805839999999,AUTO,
2023-11-23 00:00:00,600566,BUY,600,27.17,16318.302,4.8954906,AUTO,
2023-11-23 00:00:00,002265,BUY,1400,11.78,16508.491999999995,4.952547599999998,AUTO,
2023-11-23 00:00:00,600927,BUY,1000,16.109,16125.108999999999,4.837532699999999,AUTO,
2023-11-23 00:00:00,002603,BUY,700,22.89,16039.022999999997,4.811706899999999,AUTO,
2023-11-23 00:00:00,600332,BUY,500,27.911,13969.455499999998,4.190836649999999,AUTO,
2023-11-23 00:00:00,600848,BUY,1500,10.78,16186.169999999996,4.855850999999999,AUTO,
2023-11-23 00:00:00,000009,BUY,1400,11.545,16179.162999999997,4.8537488999999985,AUTO,
2023-12-21 00:00:00,300857,SELL,700,24.52,22.29,,,0.0443
2023-12-21 00:00:00,000027,SELL,2800,5.78,21.02,,,-0.0253
2023-12-21 00:00:00,600704,SELL,4000,3.941,20.47,,,-0.0506
2023-12-21 00:00:00,000039,SELL,2200,7.574,21.64,,,0.0066
2023-12-21 00:00:00,600566,SELL,600,28.33,22.08,,,0.0427
2023-12-21 00:00:00,002265,SELL,1400,11.45,20.82,,,-0.028
2023-12-21 00:00:00,600927,SELL,1000,15.359,19.95,,,-0.0466
2023-12-21 00:00:00,002603,SELL,700,22.33,20.3,,,-0.0245
2023-12-21 00:00:00,600332,SELL,500,26.191,17.01,,,-0.0616
2023-12-21 00:00:00,600848,SELL,1500,10.03,19.54,,,-0.0696
2023-12-21 00:00:00,000009,SELL,1400,11.545,20.99,,,0.0
2023-12-21 00:00:00,600642,BUY,2900,5.58,16198.181999999999,4.859454599999999,AUTO,
2023-12-21 00:00:00,000883,BUY,4000,4.06,16256.239999999998,4.876871999999999,AUTO,
2023-12-21 00:00:00,600820,BUY,3100,5.26,16322.305999999999,4.896691799999999,AUTO,
2023-12-21 00:00:00,600025,BUY,1900,8.28,15747.731999999996,4.7243195999999985,AUTO,
2023-12-21 00:00:00,003816,BUY,5600,2.911,16317.901599999997,4.895370479999999,AUTO,
2023-12-21 00:00:00,600900,BUY,700,21.177,14838.723899999999,4.45161717,AUTO,
2023-12-21 00:00:00,600350,BUY,2800,5.8,16256.239999999996,4.876871999999999,AUTO,
2023-12-21 00:00:00,601880,BUY,11500,1.417,16311.795499999998,4.893538649999999,AUTO,
2023-12-21 00:00:00,000598,BUY,3000,5.323,15984.969000000001,4.7954907,AUTO,
2023-12-21 00:00:00,601179,BUY,3500,4.674,16375.359,4.9126077,AUTO,
2023-12-21 00:00:00,600348,BUY,1900,8.523,16209.893699999997,4.862968109999999,AUTO,
2023-12-21 00:00:00,601665,BUY,4900,3.323,16298.982699999997,4.889694809999999,AUTO,
2024-01-19 00:00:00,600642,SELL,2900,6.07,22.86,,,0.0878
2024-01-19 00:00:00,000883,SELL,4000,4.03,20.94,,,-0.0074
2024-01-19 00:00:00,600820,SELL,3100,5.08,20.45,,,-0.0342
2024-01-19 00:00:00,600025,SELL,1900,8.13,20.06,,,-0.0181
2024-01-19 00:00:00,003816,SELL,5600,3.161,22.99,,,0.0859
2024-01-19 00:00:00,600350,SELL,2800,6.08,22.11,,,0.0483
2024-01-19 00:00:00,601880,SELL,11500,1.347,20.12,,,-0.0494
2024-01-19 00:00:00,000598,SELL,3000,5.443,21.21,,,0.0225
2024-01-19 00:00:00,601179,SELL,3500,4.824,21.93,,,0.0321
2024-01-19 00:00:00,600348,SELL,1900,8.453,20.86,,,-0.0082
2024-01-19 00:00:00,601665,SELL,4900,3.283,20.89,,,-0.012
2024-01-19 00:00:00,601169,BUY,3900,4.18,16318.301999999998,4.895490599999999,AUTO,
2024-01-19 00:00:00,601229,BUY,3400,4.75,16166.149999999998,4.849844999999999,AUTO,
2024-01-19 00:00:00,600919,BUY,2800,5.779,16197.381199999998,4.859214359999999,AUTO,
2024-01-19 00:00:00,601818,BUY,6500,2.533,16480.9645,4.944289349999999,AUTO,
2024-01-19 00:00:00,601009,BUY,2600,6.269,16315.6994,4.894709819999999,AUTO,
2024-01-19 00:00:00,601916,BUY,7200,2.29,16504.488,4.9513464,AUTO,
2024-01-19 00:00:00,000157,BUY,2600,6.27,16318.301999999996,4.895490599999999,AUTO,
2024-01-19 00:00:00,000333,BUY,300,49.192,14772.3576,4.4317072799999995,AUTO,
2024-01-19 00:00:00,002926,BUY,2200,7.435,16373.356999999998,4.912007099999999,AUTO,
2024-01-19 00:00:00,601398,BUY,4100,3.965,16272.756499999998,4.881826949999999,AUTO,
2024-01-19 00:00:00,000895,BUY,700,23.56,16508.491999999995,4.952547599999998,AUTO,
2024-02-26 00:00:00,600900,SELL,700,22.977,20.89,,,0.085
2024-02-26 00:00:00,601169,SELL,3900,4.53,22.94,,,0.0837
2024-02-26 00:00:00,601229,SELL,3400,5.01,22.12,,,0.0547
2024-02-26 00:00:00,600919,SELL,2800,6.359,23.12,,,0.1004
2024-02-26 00:00:00,601818,SELL,6500,2.753,23.24,,,0.0869
2024-02-26 00:00:00,601009,SELL,2600,6.949,23.46,,,0.1085
2024-02-26 00:00:00,601916,SELL,7200,2.44,22.82,,,0.0655
2024-02-26 00:00:00,000157,SELL,2600,7.19,24.28,,,0.1467
2024-02-26 00:00:00,000333,SELL,300,53.352,20.79,,,0.0846
2024-02-26 00:00:00,002926,SELL,2200,7.505,21.44,,,0.0094
2024-02-26 00:00:00,601398,SELL,4100,4.395,23.4,,,0.1084
2024-02-26 00:00:00,000895,SELL,700,25.88,23.53,,,0.0985
2024-02-26 00:00:00,601766,BUY,3000,5.76,17297.28,5.189183999999999,AUTO,
2024-02-26 00:00:00,603379,BUY,400,43.73,17509.492,5.252847599999999,AUTO,
2024-02-26 00:00:00,000651,BUY,500,32.558,16295.278999999997,4.888583699999999,AUTO,
2024-02-26 00:00:00,000338,BUY,1100,15.384,16939.3224,5.08179672,AUTO,
2024-02-26 00:00:00,600582,BUY,3100,5.743,17821.1033,5.346330989999999,AUTO,
2024-02-26 00:00:00,601225,BUY,700,23.558,16507.0906,4.95212718,AUTO,
2024-02-26 00:00:00,600160,BUY,900,19.47,17540.522999999997,5.262156899999999,AUTO,
2024-02-26 00:00:00,600104,BUY,1200,14.327,17209.592399999998,5.162877719999999,AUTO,
2024-02-26 00:00:00,600938,BUY,700,22.472,15746.130399999998,4.723839119999999,AUTO,
2024-02-26 00:00:00,600660,BUY,400,36.54,14630.615999999998,4.389184799999999,AUTO,
2024-02-26 00:00:00,601608,BUY,4300,4.123,17746.6289,5.323988669999999,AUTO,
2024-03-25 00:00:00,601766,SELL,3000,5.95,23.18,,,0.033
2024-03-25 00:00:00,603379,SELL,400,41.65,21.64,,,-0.0476
2024-03-25 00:00:00,000651,SELL,500,31.838,20.67,,,-0.0221
2024-03-25 00:00:00,000338,SELL,1100,14.904,21.29,,,-0.0312
2024-03-25 00:00:00,600582,SELL,3100,5.953,23.97,,,0.0366
2024-03-25 00:00:00,601225,SELL,700,23.288,21.17,,,-0.0115
2024-03-25 00:00:00,600160,SELL,900,21.11,24.67,,,0.0842
2024-03-25 00:00:00,600104,SELL,1200,14.277,22.25,,,-0.0035
2024-03-25 00:00:00,600938,SELL,700,25.572,23.25,,,0.1379
2024-03-25 00:00:00,600660,SELL,400,37.09,19.27,,,0.0151
2024-03-25 00:00:00,601608,SELL,4300,4.133,23.08,,,0.0024
2024-03-25 00:00:00,601916,BUY,6800,2.65,18038.019999999997,5.411405999999999,AUTO,
2024-03-25 00:00:00,600031,BUY,1300,13.725,17860.3425,5.35810275,AUTO,
2024-03-25 00:00:00,002085,BUY,1200,14.03,16852.835999999996,5.055850799999998,AUTO,
2024-03-25 00:00:00,002130,BUY,1700,10.466,17809.992199999997,5.342997659999998,AUTO,
2024-03-25 00:00:00,601878,BUY,1600,10.692,17124.3072,5.137292159999999,AUTO,
2024-03-25 00:00:00,600483,BUY,1900,9.467,18005.2873,5.40158619,AUTO,
2024-03-25 00:00:00,601600,BUY,2600,6.74,17541.523999999998,5.262457199999999,AUTO,
2024-03-25 00:00:00,002532,BUY,3400,5.27,17935.917999999998,5.380775399999999,AUTO,
2024-03-25 00:00:00,601169,BUY,3500,5.03,17622.605,5.286781499999999,AUTO,
2024-04-24 00:00:00,601916,SELL,6800,2.62,23.14,,,-0.0113
2024-04-24 00:00:00,600031,SELL,1300,14.555,24.57,,,0.0605
2024-04-24 00:00:00,002085,SELL,1200,14.79,23.05,,,0.0542
2024-04-24 00:00:00,002130,SELL,1700,12.606,27.83,,,0.2045
2024-04-24 00:00:00,601878,SELL,1600,9.652,20.06,,,-0.0973
2024-04-24 00:00:00,600483,SELL,1900,9.257,22.84,,,-0.0222
2024-04-24 00:00:00,601600,SELL,2600,6.66,22.49,,,-0.0119
2024-04-24 00:00:00,002532,SELL,3400,5.92,26.14,,,0.1233
2024-04-24 00:00:00,601169,SELL,3500,5.0,22.73,,,-0.006
2024-04-24 00:00:00,601838,BUY,1400,12.452,17450.232799999998,5.235069839999999,AUTO,
2024-04-24 00:00:00,000423,BUY,300,61.206,18380.161799999998,5.514048539999999,AUTO,
2024-04-24 00:00:00,600015,BUY,3100,5.921,18373.4551,5.51203653,AUTO,
2024-04-24 00:00:00,603605,BUY,100,108.089,10819.7089,3.2459126699999996,AUTO,
2024-04-24 00:00:00,601919,BUY,2000,8.81,17637.62,5.2912859999999995,AUTO,
2024-04-24 00:00:00,000921,BUY,500,32.729,16380.864499999998,4.914259349999999,AUTO,
2024-04-24 00:00:00,600926,BUY,1700,10.45,17782.764999999996,5.334829499999998,AUTO,
2024-04-24 00:00:00,603939,BUY,500,35.25,17642.625,5.292787499999999,AUTO,
2024-04-24 00:00:00,601009,BUY,2300,7.729,17794.4767,5.338343009999999,AUTO,
2024-04-24 00:00:00,600690,BUY,700,26.051,18253.935699999995,5.476180709999998,AUTO,
2024-04-24 00:00:00,601229,BUY,3300,5.5,18168.149999999998,5.450444999999998,AUTO,
2024-04-24 00:00:00,600332,BUY,600,28.921,17369.952599999997,5.210985779999999,AUTO,
2024-05-27 00:00:00,601838,SELL,1400,14.162,25.75,,,0.1373
2024-05-27 00:00:00,000423,SELL,300,63.716,24.82,,,0.041
2024-05-27 00:00:00,600015,SELL,3100,6.141,24.72,,,0.0372
2024-05-27 00:00:00,603605,SELL,100,109.409,14.21,,,0.0122
2024-05-27 00:00:00,000921,SELL,500,39.179,25.44,,,0.1971
2024-05-27 00:00:00,600926,SELL,1700,12.16,26.85,,,0.1636
2024-05-27 00:00:00,603939,SELL,500,36.9,23.96,,,0.0468
2024-05-27 00:00:00,600690,SELL,700,28.741,26.13,,,0.1033
2024-05-27 00:00:00,600332,SELL,600,29.811,23.23,,,0.0308
2024-05-27 00:00:00,600900,BUY,800,24.537,19649.2296,5.894768879999999,AUTO,
2024-05-27 00:00:00,601166,BUY,1300,15.064,19602.783199999998,5.880834959999999,AUTO,
2024-05-27 00:00:00,600000,BUY,2600,7.809,20323.7034,6.097111019999999,AUTO,
2024-05-27 00:00:00,600021,BUY,2100,9.81,20621.601,6.1864802999999995,AUTO,
